siRNA Identifier	Gene Identifier	Gene Symbol	Gene Description	Deviation	Overall Strong Inhibitor Gene Hit	Has Phenotype	Phenotype Annotation Level	Phenotype 1
SI03023447	ENSG00000154639	CXADR	coxsackie virus and adenovirus receptor	1.2128	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00024885	ENSG00000155962	CLIC2	chloride intracellular channel 2	2.1591	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00022267	ENSG00000156110	ADK	adenosine kinase	2.2633	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03026212	ENSG00000156261	CCT8	"chaperonin containing TCP1, subunit 8 (theta)"	1.7274	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00695555	ENSG00000156471	PTDSS1	phosphatidylserine synthase 1	3.7567	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00692489	ENSG00000156575	PRG3	proteoglycan 3	2.0079	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00006405	ENSG00000156873	PHKG2	"phosphorylase kinase, gamma 2 (testis)"	1.6151	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00605010	ENSG00000156970	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	1.7952	yes	yes	multiple replicates of reagent	strong inhibition of secretion
242751	ENSG00000157005	SST	somatostatin	2.8731	yes	yes	multiple replicates of reagent	strong inhibition of secretion
242752	ENSG00000157005	SST	somatostatin	2.5938	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00071183	ENSG00000157227	MMP14	matrix metallopeptidase 14 (membrane-inserted)	2.1025	yes	yes	multiple replicates of reagent	strong inhibition of secretion
105347	ENSG00000157227	MMP14	matrix metallopeptidase 14 (membrane-inserted)		yes			
104073	ENSG00000157227	MMP14	matrix metallopeptidase 14 (membrane-inserted)		yes			
SI00361067	ENSG00000157349	DDX19B	DEAD (Asp-Glu-Ala-As) box polypeptide 19B	1.7476	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00074291	ENSG00000157557	ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	1.9545	yes	yes	multiple replicates of reagent	strong inhibition of secretion
127078	ENSG00000157927	RADIL	Ras association and DIL domains	3.0545	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03065748	ENSG00000158748	HTR6	5-hydroxytryptamine (serotonin) receptor 6	2.2116	yes	yes	multiple replicates of reagent	strong inhibition of secretion
107450	ENSG00000158864	NDUFS2	NADH dehydrogenase (ubiquinone) Fe-S protein 2		yes			
107448	ENSG00000158864	NDUFS2	NADH dehydrogenase (ubiquinone) Fe-S protein 2		yes			
SI00048489	ENSG00000159167	STC1	stanniocalcin 1	1.8226	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00345450	ENSG00000159685	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6	2.4116	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00770203	ENSG00000159885	ZNF222	zinc finger protein 222	3.1101	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03078838	ENSG00000160014	CALM3	"calmodulin 3 (phosphorylase kinase, delta)"	1.2872	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00074186	ENSG00000160113	NR2F6	"nuclear receptor subfamily 2, group F, member 6"	1.8287	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00355936	ENSG00000160213	CSTB	cystatin B (stefin B)	2.8212	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02658187	ENSG00000160972	PPP1R16A	"protein phosphatase 1, regulatory (inhibitor) subunit 16A"	1.4756	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00016737	ENSG00000161509	GRIN2C	"glutamate receptor, ionotropic, N-methyl D-aspartate 2C"	2.112	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00358456	ENSG00000161544	CYGB	cytoglobin	3.9241	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00492331	ENSG00000161671	C19orf63	chromosome 19 open reading frame 63	1.429	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02758077	ENSG00000162073	PAQR4	progestin and adipoQ receptor family member IV	2.3658	yes	yes	multiple replicates of reagent	strong inhibition of secretion
123585	ENSG00000162129	CLPB	ClpB caseinolytic peptidase B homolog (E. coli)	2.4069	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00719439	ENSG00000162129	CLPB	ClpB caseinolytic peptidase B homolog (E. coli)	3.0349	yes	yes	multiple replicates of reagent	strong inhibition of secretion
123586	ENSG00000162129	CLPB	ClpB caseinolytic peptidase B homolog (E. coli)		yes			
SI00112238	ENSG00000162191	UBXN1	UBX domain protein 1	1.8748	yes	yes	multiple replicates of reagent	strong inhibition of secretion
121758	ENSG00000162191	UBXN1	UBX domain protein 1		yes			
121757	ENSG00000162191	UBXN1	UBX domain protein 1		yes			
SI00767459	ENSG00000162300	ZFPL1	zinc finger protein-like 1	3.2473	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00463813	ENSG00000162413	KLHL21	kelch-like 21 (Drosophila)	2.6856	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00153265	ENSG00000162600	OMA1	"OMA1 homolog, zinc metallopeptidase (S. cerevisiae)"	2.288	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03245053	ENSG00000162607	USP1	ubiquitin specific peptidase 1	2.8264	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00328279	ENSG00000162944	RFTN2	raftlin family member 2	1.5678	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00303548	ENSG00000162980	ARL5A	ADP-ribosylation factor-like 5A	3.156	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03196816	ENSG00000163159	VPS72	vacuolar protein sorting 72 (yeast)	1.5004	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00691607	ENSG00000163605	PPP4R2	"protein phosphatase 4, regulatory subunit 2"	2.4273	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00407911	ENSG00000163704	PRRT3	proline-rich transmembrane protein 3	1.7821	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00432684	ENSG00000163754	GYG1	glycogenin 1	1.7272	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02643914	ENSG00000163808	KIF15	kinesin family member 15	2.9124	yes	yes	multiple replicates of reagent	strong inhibition of secretion
239890	ENSG00000163935	SFMBT1	Scm-like with four mbt domains 1	3.829	yes	yes	multiple replicates of reagent	strong inhibition of secretion
239891	ENSG00000163935	SFMBT1	Scm-like with four mbt domains 1	2.2948	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00645211	ENSG00000164008	C1orf50	chromosome 1 open reading frame 50	1.3574	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00301007	ENSG00000164144	ARFIP1	ADP-ribosylation factor interacting protein 1 (arfaptin 1)	2.0956	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00050043	ENSG00000164342	TLR3	toll-like receptor 3	2.1353	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00696794	ENSG00000164405	UQCRQ	"ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa"	1.9544	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00131705	ENSG00000164418	GRIK2	"glutamate receptor, ionotropic, kainate 2"	2.1834	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03242883	ENSG00000164970	C9orf25	chromosome 9 open reading frame 25	1.3155	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00457065	ENSG00000164976	KIAA1161	KIAA1161	2.1615	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00078085	ENSG00000165029	ABCA1	"ATP-binding cassette, sub-family A (ABC1), member 1"	1.3921	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03198650	ENSG00000165322	ARHGAP12	Rho GTPase activating protein 12	1.1047	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03142132	ENSG00000165655	ZNF503	zinc finger protein 503	2.5331	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02661505	ENSG00000165672	PRDX3	peroxiredoxin 3	2.046	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03123757	ENSG00000165675	ENOX2	ecto-NOX disulfide-thiol exchanger 2	2.2203	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00313327	ENSG00000166164	BRD7	bromodomain containing 7	1.1243	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00472920	ENSG00000166477	LEO1	"Leo1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"	1.5684	yes	yes	multiple replicates of reagent	strong inhibition of secretion
248890	ENSG00000166508	MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	4.5506	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00629097	ENSG00000166508	MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	1.827	yes	yes	multiple replicates of reagent	strong inhibition of secretion
248891	ENSG00000166508	MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)		yes			
SI00400127	ENSG00000166575	TMEM135	transmembrane protein 135	2.2827	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00633227	ENSG00000166965	RCCD1	RCC1 domain containing 1	2.3113	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00405447	ENSG00000167302	C17orf56	chromosome 17 open reading frame 56	2.0077	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00290521	ENSG00000167315	ACAA2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	2.259	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03186925	ENSG00000167522	ANKRD11	ankyrin repeat domain 11	1.0729	yes	yes	multiple replicates of reagent	strong inhibition of secretion
1218	ENSG00000167601	AXL	AXL receptor tyrosine kinase	2.2486	yes	yes	multiple replicates of reagent	strong inhibition of secretion
1313	ENSG00000167601	AXL	AXL receptor tyrosine kinase	2.0701	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00605304	ENSG00000167601	AXL	AXL receptor tyrosine kinase	2.6621	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02661085	ENSG00000167613	LAIR1	leukocyte-associated immunoglobulin-like receptor 1	2.0221	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00075572	ENSG00000167701	GPT	glutamic-pyruvate transaminase (alanine aminotransferase)	1.0472	yes	yes	multiple replicates of reagent	strong inhibition of secretion
237086	ENSG00000168274	HIST1H2AE	"histone cluster 1, H2ae"	2.6359	yes	yes	multiple replicates of reagent	strong inhibition of secretion
237087	ENSG00000168274	HIST1H2AE	"histone cluster 1, H2ae"	1.6225	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00436954	ENSG00000168274	HIST1H2AE	"histone cluster 1, H2ae"	1.5348	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00142779	ENSG00000168395	ING5	"similar to inhibitor of growth family, member 5"	2.5695	yes	yes	multiple replicates of reagent	strong inhibition of secretion
245372	ENSG00000168913	ENHO	energy homeostasis associated	2.1641	yes	yes	multiple replicates of reagent	strong inhibition of secretion
242819	ENSG00000168913	ENHO	energy homeostasis associated	2.2359	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00469840	ENSG00000168924	LETM1	leucine zipper-EF-hand containing transmembrane protein 1	2.2469	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00000679	ENSG00000169083	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	2.5399	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02665103	ENSG00000169139	UBE2V2	ubiquitin-conjugating enzyme E2 variant 2	1.8972	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02759246	ENSG00000169410	PTPN9	"protein tyrosine phosphatase, non-receptor type 9"	1.9004	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00102536	ENSG00000169504	CLIC4	chloride intracellular channel 4	2.7972	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00320684	ENSG00000169918	OTUD7A	OTU domain containing 7A	1.1344	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00754460	ENSG00000170142	UBE2E1	"ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)"	2.1757	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00393813	ENSG00000170264	FAM161A	"family with sequence similarity 161, member A"	1.1043	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03055248	ENSG00000170421	KRT8	keratin 8	2.6787	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02780435	ENSG00000170502	NUDT9	nudix (nucleoside diphosphate linked moiety X)-type motif 9	2.2126	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00719306	ENSG00000170577	SIX2	sine oculis homeobox homolog 2 (Drosophila)	2.4351	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00089019	ENSG00000170734	POLH	"polymerase (DNA directed), eta"	1.6218	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00075439	ENSG00000170775	GPR37	G protein-coupled receptor 37 (endothelin receptor type B-like)	1.8412	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03131639	ENSG00000170921	TANC2	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2"	2.2319	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00758163	ENSG00000172046	USP19	ubiquitin specific peptidase 19	2.5317	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00345303	ENSG00000172586	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1	2.3463	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00331345	ENSG00000172673	THEMIS	thymocyte selection associated	1.6998	yes	yes	multiple replicates of reagent	strong inhibition of secretion
104225	ENSG00000172901	AC010282.1	Aminopeptidase Q	1.5306	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00419545	ENSG00000172901	AC010282.1	Aminopeptidase Q	1.381	yes	yes	multiple replicates of reagent	strong inhibition of secretion
41436	ENSG00000172901	AC010282.1	Aminopeptidase Q		yes			
SI02777453	ENSG00000172939	OXSR1	oxidative-stress responsive 1	2.4878	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00090573	ENSG00000173198	CYSLTR1	cysteinyl leukotriene receptor 1	2.1344	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00748818	ENSG00000173273	TNKS	"tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase"	1.2808	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00576828	ENSG00000173436	C1orf151	chromosome 1 open reading frame 151	2.5784	yes	yes	multiple replicates of reagent	strong inhibition of secretion
239993	ENSG00000173598	NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4	3.4408	yes	yes	multiple replicates of reagent	strong inhibition of secretion
239992	ENSG00000173598	NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4	3.8935	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03244843	ENSG00000173674	EIF1AX	"eukaryotic translation initiation factor 1A, X-linked"	1.9225	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00164052	ENSG00000173681	CXorf23	chromosome X open reading frame 23	1.7631	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02640904	ENSG00000173726	TOMM20	translocase of outer mitochondrial membrane 20 homolog (yeast)	2.8738	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00088550	ENSG00000174231	PRPF8	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)	2.9249	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00414400	ENSG00000174844	DNAH12	dynein heavy chain domain 2	1.4557	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03091515	ENSG00000174938	SEZ6L2	seizure related 6 homolog (mouse)-like 2	1.1472	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00747096	ENSG00000175283	DOLK	dolichol kinase	2.2379	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00709240	ENSG00000175792	RUVBL1	RuvB-like 1 (E. coli)	1.3415	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00414225	ENSG00000176160	HSF5	heat shock transcription factor family member 5	1.4364	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00165039	ENSG00000176422	SPRYD4	SPRY domain containing 4	1.7061	yes	yes	multiple replicates of reagent	strong inhibition of secretion
120736	ENSG00000176490	DIRAS1	"DIRAS family, GTP-binding RAS-like 1"	2.2301	yes	yes	multiple replicates of reagent	strong inhibition of secretion
120734	ENSG00000176490	DIRAS1	"DIRAS family, GTP-binding RAS-like 1"	1.8437	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00364070	ENSG00000176490	DIRAS1	"DIRAS family, GTP-binding RAS-like 1"	2.2403	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00021609	ENSG00000176890	TYMS	thymidylate synthetase	2.635	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00643832	ENSG00000176894	PGAM5	phosphoglycerate mutase family member 5	1.182	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00766486	ENSG00000177054	ZDHHC13	"zinc finger, DHHC-type containing 13"	1.9605	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00091588	ENSG00000177156	TALDO1	transaldolase 1	2.2628	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00141582	ENSG00000177602	GSG2	germ cell associated 2 (haspin)	1.1344	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02778454	ENSG00000177674	AGTRAP	angiotensin II receptor-associated protein	3.215	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00638085	ENSG00000177830	CHID1	chitinase domain containing 1	2.4672	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00357392	ENSG00000177854	TMEM187	transmembrane protein 187	1.9957	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02780610	ENSG00000178035	IMPDH2	IMP (inosine monophosphate) dehydrogenase 2	1.7483	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00153734	ENSG00000178038	ALS2CL	ALS2 C-terminal like	1.2445	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00075404	ENSG00000178623	GPR35	G protein-coupled receptor 35	2.299	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00352233	ENSG00000178741	COX5A	"cytochrome c oxidase, subunit Va"	3.1374	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03171238	ENSG00000178803	C22orf45	chromosome 22 open reading frame 45	3.1778	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00158697	ENSG00000179021	C3orf38	chromosome 3 open reading frame 38	2.0136	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00399245	ENSG00000179151	EDC3	enhancer of mRNA decapping 3 homolog (S. cerevisiae)	3.1951	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00605143	ENSG00000179335	CLK3	CDC-like kinase 3	2.5639	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00406854	ENSG00000179532	DNHD1	dynein heavy chain domain 1	2.8805	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00298487	ENSG00000179750	APOBEC3B	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"	3.4475	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03065293	ENSG00000179841	AKAP5	A kinase (PRKA) anchor protein 5	1.3924	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00440923	ENSG00000180806	HOXC9	homeo box C9	1.5401	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03290763	ENSG00000180902	D2HGDH	D-2-hydroxyglutarate dehydrogenase	2.1609	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00018438	ENSG00000180914	OXTR	oxytocin receptor	1.1129	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02759127	ENSG00000181085	MAPK15	mitogen-activated protein kinase 15	1.9974	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00759080	ENSG00000181408	UTS2R	urotensin 2 receptor	2.2735	yes	yes	multiple replicates of reagent	strong inhibition of secretion
237500	ENSG00000181789	COPG	"coatomer protein complex, subunit gamma"	2.417	yes	yes	multiple replicates of reagent	strong inhibition of secretion
237501	ENSG00000181789	COPG	"coatomer protein complex, subunit gamma"		yes			
SI00027363	ENSG00000182326	C1S	"complement component 1, s subcomponent"	2.4475	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00631890	ENSG00000182544	MFSD5	major facilitator superfamily domain containing 5	2.4999	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00289219	ENSG00000183044	ABAT	4-aminobutyrate aminotransferase	2.4305	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00383950	ENSG00000183114	FAM43B	"family with sequence similarity 43, member B"	2.4495	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00145845	ENSG00000183117	CSMD1	CUB and Sushi multiple domains 1	1.7828	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00497980	ENSG00000183160	TMEM119	transmembrane protein 119	2.6063	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00414141	ENSG00000183470	AC009365.3	null	1.4629	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00347368	ENSG00000183723	CMTM4	CKLF-like MARVEL transmembrane domain containing 4	1.6346	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00156170	ENSG00000183762	KREMEN1	kringle containing transmembrane protein 1	2.5257	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03062584	ENSG00000183813	CCR4	chemokine (C-C motif) receptor 4	1.9834	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00462826	ENSG00000183853	KIRREL	kin of IRRE like (Drosophila)	2.477	yes	yes	multiple replicates of reagent	strong inhibition of secretion
238099	ENSG00000183971	NPW	neuropeptide W	3.0039	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00691285	ENSG00000183971	NPW	neuropeptide W	1.3832	yes	yes	multiple replicates of reagent	strong inhibition of secretion
238100	ENSG00000183971	NPW	neuropeptide W		yes			
SI00641928	ENSG00000184220	C3orf26	chromosome 3 open reading frame 26	1.2467	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00690410	ENSG00000184271	POU6F1	"POU domain, class 6, transcription factor 1"	1.9832	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02664809	ENSG00000184432	COPB2	"coatomer protein complex, subunit beta 2 (beta prime)"	1.4459	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00744051	ENSG00000184436	THAP7	THAP domain containing 7	1.9095	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00641991	ENSG00000184465	WDR27	WD repeat domain 27	2.9412	yes	yes	multiple replicates of reagent	strong inhibition of secretion
215977	ENSG00000185115	NDNL2	necdin-like 2		yes			
36770	ENSG00000185115	NDNL2	necdin-like 2		yes			
105875	ENSG00000185133	INPP5J	"phosphatidylinositol (4,5) bisphosphate 5-phosphatase, A"	2.374	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03040380	ENSG00000185133	INPP5J	"phosphatidylinositol (4,5) bisphosphate 5-phosphatase, A"	2.3136	yes	yes	multiple replicates of reagent	strong inhibition of secretion
105874	ENSG00000185133	INPP5J	"phosphatidylinositol (4,5) bisphosphate 5-phosphatase, A"		yes			
SI00464933	ENSG00000185479	KRT6B	keratin 6B	3.1475	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00373744	ENSG00000185721	DRG1	developmentally regulated GTP binding protein 1	2.5642	yes	yes	multiple replicates of reagent	strong inhibition of secretion
4572	ENSG00000186350	RXRA	"retinoid X receptor, alpha"	3.3531	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00062769	ENSG00000186716	BCR	breakpoint cluster region	2.1685	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00161665	ENSG00000186919	ZACN	"ligand-gated ion channel, zinc activated 1"	1.6787	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03058258	ENSG00000187122	SLIT1	slit homolog 1 (Drosophila)	1.8642	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02630810	ENSG00000187554	TLR5	toll-like receptor 5	2.4582	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00163674	ENSG00000187950	OVCH1	ovochymase 1	3.0951	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00463729	ENSG00000187961	KLHL17	kelch-like 17 (Drosophila)	2.2459	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02223081	ENSG00000188130	MAPK12	mitogen-activated protein kinase 12	1.9281	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00555338	ENSG00000188163	FAM166A	"family with sequence similarity 166, member A"	1.2123	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00029071	ENSG00000188822	CNR2	cannabinoid receptor 2 (macrophage)	3.5268	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI03028739	ENSG00000196083	IL1RAP	interleukin 1 receptor accessory protein	1.6438	yes	yes	multiple replicates of reagent	strong inhibition of secretion
27176	ENSG00000196345	ZNF167	zinc finger protein 167	2.9591	yes	yes	multiple replicates of reagent	strong inhibition of secretion
109138	ENSG00000196345	ZNF167	zinc finger protein 167	1.7416	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00769209	ENSG00000196345	ZNF167	zinc finger protein 167	2.8803	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02824899	ENSG00000196466	ZNF799	zinc finger protein 799	2.3604	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00417242	ENSG00000196559	C11orf55	chromosome 11 open reading frame 55	2.2521	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02628409	ENSG00000197063	MAFG	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)"	2.7172	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00304542	ENSG00000197070	ARRDC1	arrestin domain containing 1	2.0109	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00644224	ENSG00000197191	C9orf169	chromosome 9 open reading frame 169	1.5092	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00040327	ENSG00000197461	PDGFA	platelet-derived growth factor alpha polypeptide	2.0742	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02636095	ENSG00000197584	KCNMB2	"potassium large conductance calcium-activated channel, subfamily M, beta member 2"	1.6921	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00646499	ENSG00000197601	FAR1	male sterility domain containing 2	2.3241	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00683837	ENSG00000197724	PHF2	PHD finger protein 2	1.144	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00470456	ENSG00000197753	LHFPL5	lipoma HMGIC fusion partner-like 5	1.9667	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI00444297	ENSG00000197933	ZNF823	zinc finger protein 823	2.8328	yes	yes	multiple replicates of reagent	strong inhibition of secretion
29115	ENSG00000197951	ZNF71	zinc finger protein 71	1.4118	yes	yes	multiple replicates of reagent	strong inhibition of secretion
SI02663290	ENSG00000197951	ZNF71	zinc finger protein 71	2.1976	yes	yes	multiple replicates of reagent	strong inhibition of secretion
116299	ENSG00000197951	ZNF71	zinc finger protein 71		yes			
SI00777553	ENSG00000198182	ZNF607	zinc finger protein 607	2.1244	yes	yes	multiple replicates of reagent	strong inhibition of secretion
