Well	siRNA Pool Identifier	Gene Identifier	Gene Symbol	Experimental Condition [RNA interference]	Well_Experimental Condition [RNA interference]	Percentage multipolar spindle - Z-score	Average no. of spindle poles per cell per well - Z-score	Cell number - Z-score	Mitotic Index - Z-score	Percentage Multinucleate - Z-score	ch-TOG Multipolar Spindle Phenotype Hit	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2
J10	L-015737-00	4869	NPM1	ch-TOG shRNA	J10_ch-TOG shRNA	0.429645899	0.272320903	-0.761809526	-0.005791625	-0.053299025					
J10	L-015737-00	4869	NPM1	non-silencing shRNA	J10_non-silencing shRNA	-0.20984463	0.14219618	0.032410836	-0.120891415	-0.155577554					
J11	L-004105-00	7272	TTK	ch-TOG shRNA	J11_ch-TOG shRNA	1.087519852	1.03100619	4.550782444	-2.260612936	0.109234722					
J11	L-004105-00	7272	TTK	non-silencing shRNA	J11_non-silencing shRNA	-0.080430884	0.147591714	0.078733726	-0.151881739	0.11175144					
J12	L-003737-00	3064	HD	ch-TOG shRNA	J12_ch-TOG shRNA	-0.99434987	-0.741522192	0.704372457	-0.412199889	-0.586700699					
J12	L-003737-00	3064	HD	non-silencing shRNA	J12_non-silencing shRNA	-0.460333446	-0.981087797	1.091450737	-0.258379016	-0.149487922					
J13	L-012364-00	11190	CEP250	ch-TOG shRNA	J13_ch-TOG shRNA	1.503085011	1.050884884	0.011001767	-1.277366408	0.047080959	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
J13	L-012364-00	11190	CEP250	non-silencing shRNA	J13_non-silencing shRNA	1.031973202	1.2890489	0.243586991	-0.253213552	-0.194322721					
J14	L-020128-00	5303	PIN4	ch-TOG shRNA	J14_ch-TOG shRNA	-0.391905137	0.062909212	0.292822824	-0.971235878	-0.224017042					
J14	L-020128-00	5303	PIN4	non-silencing shRNA	J14_non-silencing shRNA	-0.753798368	-0.43696448	0.27270377	-0.189371334	-0.219199371					
J15	L-010636-00	10211	FLOT1	ch-TOG shRNA	J15_ch-TOG shRNA	-1.043383018	-0.509201071	1.10091104	-1.833605532	-0.245268703					
J15	L-010636-00	10211	FLOT1	non-silencing shRNA	J15_non-silencing shRNA	0.084323339	-1.223530116	0.416613558	-0.195187988	-0.305059219					
J16	L-012061-00	10048	RANBP9	ch-TOG shRNA	J16_ch-TOG shRNA	1.1714014	0.888973915	-0.884983327	-0.363359017	0.243767417					
J16	L-012061-00	10048	RANBP9	non-silencing shRNA	J16_non-silencing shRNA	-0.156408738	-0.154709835	0.64944984	-0.167664618	-0.088192263					
J17	L-021163-00	55143	CDCA8	ch-TOG shRNA	J17_ch-TOG shRNA	4.918372779	6.602429574	0.829058147	-2.276846667	2.489203367	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
J17	L-021163-00	55143	CDCA8	non-silencing shRNA	J17_non-silencing shRNA	1.91777775	-0.281467158	-1.905583044	0.053256504	4.77231686	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
J18	L-006823-00	3619	INCENP	ch-TOG shRNA	J18_ch-TOG shRNA	5.78494355	7.450636805	-0.277720278	-1.87257673	5.586448291	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
J18	L-006823-00	3619	INCENP	non-silencing shRNA	J18_non-silencing shRNA	1.472173193	0.325299085	-2.986987273	0.26209436	8.509562449					
J19	L-023335-00	22994	AZI1	ch-TOG shRNA	J19_ch-TOG shRNA	-1.809268676	-1.337505901	4.845707705	-2.476479167	-0.644587975	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
J19	L-023335-00	22994	AZI1	non-silencing shRNA	J19_non-silencing shRNA	0.148081379	-1.54101231	-0.196485354	-0.111323284	-0.011539951					
J2				ch-TOG shRNA	J2_ch-TOG shRNA	0.193852876	0.071940609	-0.145936436	0.941146283	-0.024683446					
J2				non-silencing shRNA	J2_non-silencing shRNA	-0.409296298	0.284525497	0.049208384	-0.153053733	-0.223247591					
J20	L-021478-00	58498	MYL7	ch-TOG shRNA	J20_ch-TOG shRNA	-0.558214068	-0.318880674	-0.272454132	-0.911080204	-0.287595727					
J20	L-021478-00	58498	MYL7	non-silencing shRNA	J20_non-silencing shRNA	0.677923001	-2.101095434	0.155944124	-0.242522977	-0.310106857					
J21	L-004632-00	9113	LATS1	ch-TOG shRNA	J21_ch-TOG shRNA	0.234236915	-0.041406198	-0.267837646	-1.232209962	-0.015526209					
J21	L-004632-00	9113	LATS1	non-silencing shRNA	J21_non-silencing shRNA	0.149741946	0.732874053	0.236297496	-0.260916635	-0.09776002					
J22	L-003545-01	6790	AURKA	ch-TOG shRNA	J22_ch-TOG shRNA	-0.846811412	-1.022457851	-1.868454938	-1.509128193	-0.243046301					
J22	L-003545-01	6790	AURKA	non-silencing shRNA	J22_non-silencing shRNA	-0.393051971	0.12325536	-1.900711131	0.415846821	-0.191775278					
J23				ch-TOG shRNA	J23_ch-TOG shRNA	0.979999592	0.579572775	-0.61616019	-1.165274252	-0.019038718					
J23				non-silencing shRNA	J23_non-silencing shRNA	-0.143981039	0.967670114	0.299280119	-0.203704494	-0.221962707					
J3	L-006825-00	8379	MAD1L1	ch-TOG shRNA	J3_ch-TOG shRNA	-0.470344976	-0.332258671	2.762571857	-1.966648468	0.037087079					
J3	L-006825-00	8379	MAD1L1	non-silencing shRNA	J3_non-silencing shRNA	0.052231366	0.369054415	0.443581574	-0.257272012	-0.015949818					
J4	L-012365-00	11258	DCTN3	ch-TOG shRNA	J4_ch-TOG shRNA	-0.001165187	-0.117520748	-0.947784016	1.717772391	-0.23648364					
J4	L-012365-00	11258	DCTN3	non-silencing shRNA	J4_non-silencing shRNA	-0.16465913	-0.097750487	-0.100200162	-0.062980764	0.01650036					
J5	L-005160-00	7283	TUBG1	ch-TOG shRNA	J5_ch-TOG shRNA	-1.465392324	-1.206576519	1.460948221	-1.182368276	-0.26649192					
J5	L-005160-00	7283	TUBG1	non-silencing shRNA	J5_non-silencing shRNA	-0.333918303	2.195088177	0.39418373	-0.214475093	0.033101721					
J6	L-010553-00	8682	PEA15	ch-TOG shRNA	J6_ch-TOG shRNA	-0.636340689	-0.290124901	3.1866188	-1.563394695	-0.528285389					
J6	L-010553-00	8682	PEA15	non-silencing shRNA	J6_non-silencing shRNA	-0.367019247	0.260141772	0.013386575	-0.203999316	-0.237622742					
J7	L-008692-01	55193	PB1	ch-TOG shRNA	J7_ch-TOG shRNA	-0.276953279	-0.067443943	-0.333833178	-0.838609086	-0.002061428					
J7	L-008692-01	55193	PB1	non-silencing shRNA	J7_non-silencing shRNA	-0.325498982	0.585489506	0.371371569	-0.205206988	-0.096915037					
J8	L-003291-00	5300	PIN1	ch-TOG shRNA	J8_ch-TOG shRNA	0.715809582	0.782869062	-0.503880932	0.659845653	-0.228740068					
J8	L-003291-00	5300	PIN1	non-silencing shRNA	J8_non-silencing shRNA	-0.511732571	0.87245104	0.375783203	-0.215963176	-0.105630902					
J9	L-013818-01	55567	DNAH3	ch-TOG shRNA	J9_ch-TOG shRNA	-0.054897077	-0.03271052	0.145373558	-0.941208368	-0.116217247					
J9	L-013818-01	55567	DNAH3	non-silencing shRNA	J9_non-silencing shRNA	0.116603425	-0.229867944	0.167839826	-0.224456868	-0.166221913					
K10	L-004960-00	56992	KIF15	ch-TOG shRNA	K10_ch-TOG shRNA	0.395299695	0.465282795	0.249729226	0.47295528	-0.111550053					
K10	L-004960-00	56992	KIF15	non-silencing shRNA	K10_non-silencing shRNA	-0.457391329	-0.7210486	0.281518886	-0.164989821	-0.253346638					
K11	L-014171-01	64446	DNAI2	ch-TOG shRNA	K11_ch-TOG shRNA	-0.625651986	-0.497847726	0.390746039	-0.108317713	-0.232973634					
K11	L-014171-01	64446	DNAI2	non-silencing shRNA	K11_non-silencing shRNA	-0.519026853	1.004722652	0.022455541	-0.159098309	-0.259627222					
K12	L-004867-00	4752	NEK3	ch-TOG shRNA	K12_ch-TOG shRNA	-0.352605179	-0.17129702	0.981305024	-0.561384318	-0.242472432					
K12	L-004867-00	4752	NEK3	non-silencing shRNA	K12_non-silencing shRNA	0.067740493	-0.757416163	0.321253964	-0.19227795	-0.124425112					
K13	L-011563-00	9053	MAP7	ch-TOG shRNA	K13_ch-TOG shRNA	-0.954928683	-0.938128924	0.499936739	0.23965407	-0.66947352					
K13	L-011563-00	9053	MAP7	non-silencing shRNA	K13_non-silencing shRNA	-0.38526154	-0.130219711	0.531573726	-0.163902368	-0.28671677					
K14	L-013511-00	7461	CYLN2	ch-TOG shRNA	K14_ch-TOG shRNA	-1.230220803	-0.89890742	3.117987206	-1.360200173	-0.812298828					
K14	L-013511-00	7461	CYLN2	non-silencing shRNA	K14_non-silencing shRNA	0.243441935	-0.22859761	0.247210843	-0.221091349	-0.237947558					
K15	L-006831-00	23332	CLASP1	ch-TOG shRNA	K15_ch-TOG shRNA	0.285478071	0.313977451	0.253712089	-0.001781362	-0.316007003					
K15	L-006831-00	23332	CLASP1	non-silencing shRNA	K15_non-silencing shRNA	-0.354887983	-0.405769885	0.086348795	-0.031195964	-0.297404132					
K16	L-010990-00	229	ALDOB	ch-TOG shRNA	K16_ch-TOG shRNA	-0.298760839	-0.523418608	0.478078159	-0.146795938	-0.026854868					
K16	L-010990-00	229	ALDOB	non-silencing shRNA	K16_non-silencing shRNA	-0.123068215	-0.668735043	-0.161228003	-0.181846132	-0.114157509					
K17	L-013558-01	84376	HOOK3	ch-TOG shRNA	K17_ch-TOG shRNA	0.215207085	0.244082584	-0.006479625	0.483366845	-0.179160605					
K17	L-013558-01	84376	HOOK3	non-silencing shRNA	K17_non-silencing shRNA	-0.622559081	-0.528721284	-0.027996382	-0.114001376	-0.129910038					
K18	L-019993-01	10126	DNAL4	ch-TOG shRNA	K18_ch-TOG shRNA	-0.248658608	-0.039579144	0.222444758	0.136911979	-0.407784923					
K18	L-019993-01	10126	DNAL4	non-silencing shRNA	K18_non-silencing shRNA	-0.638963992	-0.791100311	0.665901215	-0.197076109	-0.22842249					
K19	L-012927-00	79718	TBL1XR1	ch-TOG shRNA	K19_ch-TOG shRNA	-0.118810073	0.081229289	-0.653370056	-0.147678822	0.233133605					
K19	L-012927-00	79718	TBL1XR1	non-silencing shRNA	K19_non-silencing shRNA	-0.367226953	-1.21149364	0.427428358	-0.157890832	-0.229191162					
K2				ch-TOG shRNA	K2_ch-TOG shRNA	0.459163075	0.576789255	0.172295776	1.27731449	-0.008049542					
K2				non-silencing shRNA	K2_non-silencing shRNA	-0.268699593	0.0431383	-0.025231443	-0.161824451	-0.220648008					
K20	L-014548-01	9662	FLJ13621	ch-TOG shRNA	K20_ch-TOG shRNA	-0.127835594	-0.414430564	0.190186899	-0.050760106	-0.454519165					
K20	L-014548-01	9662	FLJ13621	non-silencing shRNA	K20_non-silencing shRNA	0.456484412	-0.359472123	-0.06291008	-0.187139084	-0.260351049					
K21	L-003253-00	1063	CENPF	ch-TOG shRNA	K21_ch-TOG shRNA	0.325821173	0.168403124	-0.960963061	1.763225399	-0.256910031					
K21	L-003253-00	1063	CENPF	non-silencing shRNA	K21_non-silencing shRNA	-0.335202801	0.896127799	-0.013924502	-0.185886181	-0.276224271					
K22	L-005786-00	23192	ATG4B	ch-TOG shRNA	K22_ch-TOG shRNA	-0.22428131	-0.067374329	0.181369005	-0.172156171	-0.421114103					
K22	L-005786-00	23192	ATG4B	non-silencing shRNA	K22_non-silencing shRNA	0.355394819	-0.263972908	0.076306809	-0.247309337	-0.083569988					
K23				ch-TOG shRNA	K23_ch-TOG shRNA	0.492060886	0.469116098	-0.407581867	0.666716206	-0.002428513					
K23				non-silencing shRNA	K23_non-silencing shRNA	-0.574490424	0.206049303	0.042031812	-0.129899739	-0.220379678					
K3	L-032685-01	25981	DNAH1	ch-TOG shRNA	K3_ch-TOG shRNA	0.060735077	0.19142856	0.953280649	0.609989948	0.008342825					
K3	L-032685-01	25981	DNAH1	non-silencing shRNA	K3_non-silencing shRNA	0.273854257	0.530221519	0.366347465	-0.220603385	-0.187957006					
K4	L-003228-00	995	CDC25C	ch-TOG shRNA	K4_ch-TOG shRNA	0.027311856	0.196072981	0.467849314	1.54233026	-0.063157613					
K4	L-003228-00	995	CDC25C	non-silencing shRNA	K4_non-silencing shRNA	-0.393870431	0.106389026	0.210512041	-0.130770002	-0.095073278					
K5	L-019887-01	24139	EML2	ch-TOG shRNA	K5_ch-TOG shRNA	-0.631660512	-0.468271813	0.532380438	1.424509465	-0.10019068					
K5	L-019887-01	24139	EML2	non-silencing shRNA	K5_non-silencing shRNA	-0.214789804	0.481258777	0.18994156	-0.195635855	-0.120251638					
K6	L-184819-00	1768	DNAH6	ch-TOG shRNA	K6_ch-TOG shRNA	-0.2924963	-0.2470926	0.376353206	1.052250482	-0.307771777					
K6	L-184819-00	1768	DNAH6	non-silencing shRNA	K6_non-silencing shRNA	-0.511732571	0.432166005	0.514349536	-0.225177567	-0.214787759					
K7	L-012889-00	7840	ALMS1	ch-TOG shRNA	K7_ch-TOG shRNA	-0.662511666	-0.492635192	2.821512635	-0.493490982	-0.620686733					
K7	L-012889-00	7840	ALMS1	non-silencing shRNA	K7_non-silencing shRNA	-0.376486476	0.397678724	0.017377792	-0.209192026	-0.082269525					
K8	L-015160-02	114791	TUBGCP5	ch-TOG shRNA	K8_ch-TOG shRNA	-0.530932842	-0.471387078	-0.035600813	0.768736545	-0.416937474					
K8	L-015160-02	114791	TUBGCP5	non-silencing shRNA	K8_non-silencing shRNA	-0.753798368	0.922183801	0.406007707	-0.185920079	-0.193176631					
K9	L-019217-00	51119	SBDS	ch-TOG shRNA	K9_ch-TOG shRNA	0.524419501	0.291753329	0.03140663	1.202106021	-0.104076387					
K9	L-019217-00	51119	SBDS	non-silencing shRNA	K9_non-silencing shRNA	0.233401865	0.204469407	0.170114551	-0.099265976	-0.232083684					
L10	L-021414-01	7802	DNALI1	ch-TOG shRNA	L10_ch-TOG shRNA	0.151790524	0.128613563	0.127050689	0.461493278	-0.175296336					
L10	L-021414-01	7802	DNALI1	non-silencing shRNA	L10_non-silencing shRNA	-0.039965002	0.751757052	-0.068360826	-0.219610618	-0.330919353					
L11	L-008398-01	27436	EML4	ch-TOG shRNA	L11_ch-TOG shRNA	-0.734166993	-0.648211388	-0.040627661	0.40980207	-0.460369856					
L11	L-008398-01	27436	EML4	non-silencing shRNA	L11_non-silencing shRNA	-0.753798368	0.207196347	0.634900194	-0.220390311	-0.256449354					
L12	L-003290-00	5347	PLK1	ch-TOG shRNA	L12_ch-TOG shRNA	-2.077809035	-3.177284157	-2.625403644	0.293200641	0.019246467	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
L12	L-003290-00	5347	PLK1	non-silencing shRNA	L12_non-silencing shRNA	0.236430486	-1.016830064	-5.144103583	7.855174744	0.514189798					
L13	L-014070-00	6683	SPAST	ch-TOG shRNA	L13_ch-TOG shRNA	0.170559083	0.173906227	-0.22069169	1.085582689	-0.327216897					
L13	L-014070-00	6683	SPAST	non-silencing shRNA	L13_non-silencing shRNA	0.456704554	0.663697669	0.807625489	-0.197866998	-0.256952046					
L14	L-008701-00	10393	ANAPC10	ch-TOG shRNA	L14_ch-TOG shRNA	-0.578794424	-0.405907662	-0.996362306	0.71724526	-0.432683426					
L14	L-008701-00	10393	ANAPC10	non-silencing shRNA	L14_non-silencing shRNA	-0.152343162	-0.20718409	-0.046342671	-0.107737027	-0.273266323					
L15	L-019695-01	11076	TPPP	ch-TOG shRNA	L15_ch-TOG shRNA	-1.160253479	-0.52129575	1.420804823	-1.173210838	-0.650022913					
L15	L-019695-01	11076	TPPP	non-silencing shRNA	L15_non-silencing shRNA	-0.632364206	-1.32069646	0.161326257	-0.194464235	-0.298818175					
L16	L-004239-00	7153	TOP2A	ch-TOG shRNA	L16_ch-TOG shRNA	0.21782688	0.31143742	0.351480908	-1.227464608	0.533055193					
L16	L-004239-00	7153	TOP2A	non-silencing shRNA	L16_non-silencing shRNA	0.137471457	-0.836659189	-0.168896716	-0.129435675	-0.052665489					
L17	L-020294-01	55207	ARL10C	ch-TOG shRNA	L17_ch-TOG shRNA	-0.680626087	-0.41914925	0.238962351	0.3407182	-0.644818444					
L17	L-020294-01	55207	ARL10C	non-silencing shRNA	L17_non-silencing shRNA	-0.283152446	-0.380239858	0.315698448	-0.204537768	-0.316409513					
L18	L-012980-00	25836	NIPBL	ch-TOG shRNA	L18_ch-TOG shRNA	-0.185221441	-0.077414852	1.024143287	-1.011805395	-0.304789759					
L18	L-012980-00	25836	NIPBL	non-silencing shRNA	L18_non-silencing shRNA	-0.355129877	-0.008759217	0.773669843	-0.191646033	-0.259469884					
L19	L-014168-00	57679	ALS2	ch-TOG shRNA	L19_ch-TOG shRNA	-0.193149083	-0.086451851	0.613775999	-0.345382261	-0.560698199					
L19	L-014168-00	57679	ALS2	non-silencing shRNA	L19_non-silencing shRNA	-0.370543201	-0.563509028	0.245350904	-0.180217117	-0.241544092					
L2				ch-TOG shRNA	L2_ch-TOG shRNA	0.117235359	0.178167334	-0.044951391	1.543708414	-0.001980101					
L2				non-silencing shRNA	L2_non-silencing shRNA	-0.447574423	0.593570756	0.322457123	-0.201819707	-0.219835219					
L20	L-004958-00	3833	KIFC1	ch-TOG shRNA	L20_ch-TOG shRNA	-1.796056742	-1.804820685	1.199782017	-0.648103579	-0.747135733	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
L20	L-004958-00	3833	KIFC1	non-silencing shRNA	L20_non-silencing shRNA	0.792768675	0.224005015	-0.010861403	-0.20223055	-0.208458673					
L21	L-011113-00	1641	DCX	ch-TOG shRNA	L21_ch-TOG shRNA	-1.718579394	-1.429094991	2.454803073	-1.747600614	-0.826886111	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
L21	L-011113-00	1641	DCX	non-silencing shRNA	L21_non-silencing shRNA	-0.362512509	-0.11231486	0.256530548	-0.285608683	-0.222651965					
L22	L-013649-00	585	BBS4	ch-TOG shRNA	L22_ch-TOG shRNA	-0.305860068	-0.260515738	-0.619046241	0.336253871	-0.317139206					
L22	L-013649-00	585	BBS4	non-silencing shRNA	L22_non-silencing shRNA	0.048586441	0.511042955	0.207401521	-0.223216528	-0.302947807					
L23				ch-TOG shRNA	L23_ch-TOG shRNA	0.722015848	0.333493784	-0.749679812	0.801810175	0.002200728					
L23				non-silencing shRNA	L23_non-silencing shRNA	0.588194932	1.292968532	0.364845554	-0.244120625	-0.217545344					
L3	L-003921-00	5076	PAX2	ch-TOG shRNA	L3_ch-TOG shRNA	-0.009333449	0.161944396	1.424100605	0.682630474	-0.170583738					
L3	L-003921-00	5076	PAX2	non-silencing shRNA	L3_non-silencing shRNA	0.462705504	0.835136691	0.145269069	-0.179119568	-0.059019723					
L4	L-010330-00	5048	PAFAH1B1	ch-TOG shRNA	L4_ch-TOG shRNA	0.93695848	0.778761146	0.658834614	0.986538271	-0.106073785					
L4	L-010330-00	5048	PAFAH1B1	non-silencing shRNA	L4_non-silencing shRNA	1.282931935	-0.574890668	-0.072002757	-0.063773055	-0.216235999					
L5	L-003496-00	8841	HDAC3	ch-TOG shRNA	L5_ch-TOG shRNA	-0.977643545	-0.950495018	-0.197880003	0.507110414	-0.373681535					
L5	L-003496-00	8841	HDAC3	non-silencing shRNA	L5_non-silencing shRNA	-0.524130673	1.133807071	0.177735251	-0.201487948	-0.132096283					
L6	L-009689-01	95681	TSGA14	ch-TOG shRNA	L6_ch-TOG shRNA	-0.34135762	-0.259825298	0.448605412	0.59643331	-0.490763255					
L6	L-009689-01	95681	TSGA14	non-silencing shRNA	L6_non-silencing shRNA	-0.568451823	0.983378614	0.423172028	-0.214098897	-0.191272632					
L7	L-015194-01	116840	LIP8	ch-TOG shRNA	L7_ch-TOG shRNA	-1.427515587	-0.937294647	1.076901602	-0.756813181	-0.778831532					
L7	L-015194-01	116840	LIP8	non-silencing shRNA	L7_non-silencing shRNA	-0.540369718	0.673339495	0.503486723	-0.215586837	-0.237142516					
L8	L-004104-00	9700	ESPL1	non-silencing shRNA	L8_non-silencing shRNA	1.600177251	0.371429033	-1.520729173	-0.095856442	0.819420193	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
L8	L-004104-00	9700	ESPL1	ch-TOG shRNA	L8_ch-TOG shRNA	-0.091670807	-0.175712997	-0.188407103	0.985691204	0.291611383					
L9	L-005272-00	4926	NUMA1	ch-TOG shRNA	L9_ch-TOG shRNA	0.281610848	0.145051303	2.206267823	-1.133419198	-0.629809948					
L9	L-005272-00	4926	NUMA1	non-silencing shRNA	L9_non-silencing shRNA	0.379601835	0.104696661	0.078933931	-0.19314928	-0.101534658					
M10	L-003865-00	26524	LATS2	ch-TOG shRNA	M10_ch-TOG shRNA	0.418010609	0.477788047	-0.757815972	1.581564664	-0.250318331					
M10	L-003865-00	26524	LATS2	non-silencing shRNA	M10_non-silencing shRNA	-0.345000575	0.328543056	-0.579622143	-0.082414274	-0.145344843					
M11	L-016487-01	79959	C18ORF9	ch-TOG shRNA	M11_ch-TOG shRNA	-0.189412078	-0.144380918	-0.220483836	0.844397246	-0.370520612					
M11	L-016487-01	79959	C18ORF9	non-silencing shRNA	M11_non-silencing shRNA	-0.406062823	0.4301865	-0.181550857	-0.197224984	-0.248185033					
M12	L-021250-00	4622	MYH4	ch-TOG shRNA	M12_ch-TOG shRNA	-0.374281023	-0.45650152	0.286752621	0.039500326	-0.624273507					
M12	L-021250-00	4622	MYH4	non-silencing shRNA	M12_non-silencing shRNA	1.250605184	-0.990714195	-0.225136223	-0.19372735	-0.258829626					
M13	L-006833-00	8243	SMC1L1	ch-TOG shRNA	M13_ch-TOG shRNA	-0.189589968	0.017144241	-0.248875808	0.527361963	-0.167315747					
M13	L-006833-00	8243	SMC1L1	non-silencing shRNA	M13_non-silencing shRNA	0.048207446	-0.148486356	0.1236451	-0.08198997	-0.178082546					
M14	L-019799-00	1780	DNCI1	ch-TOG shRNA	M14_ch-TOG shRNA	-1.83112647	-1.414687581	2.265675875	-1.863539954	-0.81394695	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
M14	L-019799-00	1780	DNCI1	non-silencing shRNA	M14_non-silencing shRNA	-0.238445617	-0.472140347	-0.003276269	-0.263814052	-0.306832048					
M15	L-016881-00	55201	BPY2IP1	ch-TOG shRNA	M15_ch-TOG shRNA	-1.699123561	-1.419542548	1.018674633	-0.474499539	-0.678644459	yes	yes	experimental condition and gene	suppression of ch-TOG multipolar spindle phenotype	
M15	L-016881-00	55201	BPY2IP1	non-silencing shRNA	M15_non-silencing shRNA	-0.22942067	-0.473237916	0.151337917	-0.168757286	-0.087836557					
M16	L-012152-00	6907	TBL1X	ch-TOG shRNA	M16_ch-TOG shRNA	1.391404636	1.108713945	-0.523977002	0.845852154	-0.070931646					
M16	L-012152-00	6907	TBL1X	non-silencing shRNA	M16_non-silencing shRNA	-0.240221753	-1.161261946	0.273811494	-0.160180847	-0.319613201					
M17	L-015256-01	113130	CDCA5	ch-TOG shRNA	M17_ch-TOG shRNA	-0.536188153	-1.115036776	-2.020744581	-0.848259931	0.170899937					
M17	L-015256-01	113130	CDCA5	non-silencing shRNA	M17_non-silencing shRNA	0.974014883	0.82493785	-4.303622247	9.226828984	0.826025634					
M18	L-021448-00	23265	EXOC7	ch-TOG shRNA	M18_ch-TOG shRNA	-0.345985534	-0.018895993	0.04217822	-0.345543219	-0.352624177					
M18	L-021448-00	23265	EXOC7	non-silencing shRNA	M18_non-silencing shRNA	-0.141040538	-0.170763942	0.061763386	-0.206878726	-0.302050491					
M19	L-012218-00	10540	DCTN2	ch-TOG shRNA	M19_ch-TOG shRNA	-0.69186074	-0.066672321	-1.845845759	-0.202384135	-0.513043084					
M19	L-012218-00	10540	DCTN2	non-silencing shRNA	M19_non-silencing shRNA	0.065072485	0.365299467	-1.557395521	-0.035828492	-0.355428162					
M2				ch-TOG shRNA	M2_ch-TOG shRNA	0.589401655	0.500703443	0.057833584	0.547147964	0.004162834					
M2				non-silencing shRNA	M2_non-silencing shRNA	-0.271931252	0.414829158	-0.12812875	-0.095697255	-0.2166874					
M20	L-005788-00	84938	ATG4C	ch-TOG shRNA	M20_ch-TOG shRNA	-0.045952842	0.308546526	0.032774815	-1.33257561	-0.143570771					
M20	L-005788-00	84938	ATG4C	non-silencing shRNA	M20_non-silencing shRNA	-0.250065663	-1.258267431	-0.008216794	-0.21601263	-0.256979444					
M21	L-004101-00	701	BUB1B	ch-TOG shRNA	M21_ch-TOG shRNA	1.531244812	0.773686098	2.844499471	-2.694009346	1.121826476	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
M21	L-004101-00	701	BUB1B	non-silencing shRNA	M21_non-silencing shRNA	-0.062516379	0.227983224	-0.391655446	-0.074767054	-0.026435132					
M22	L-010958-00	858	CAV2	ch-TOG shRNA	M22_ch-TOG shRNA	-0.157217899	-0.31378906	0.065101538	-0.524944918	-0.192709739					
M22	L-010958-00	858	CAV2	non-silencing shRNA	M22_non-silencing shRNA	-0.026473298	0.430178471	-0.393774868	-0.070951703	-0.323959575					
M23				ch-TOG shRNA	M23_ch-TOG shRNA	0.440981377	0.21605045	-0.630270959	0.173358298	0.008367834					
M23				non-silencing shRNA	M23_non-silencing shRNA	0.030221829	0.89155327	-0.268462699	-0.187251771	-0.213893559					
M3	L-008361-01	10907	TXNL4	ch-TOG shRNA	M3_ch-TOG shRNA	-0.358602049	-0.25147359	-0.498417623	1.109641713	-0.091036846					
M3	L-008361-01	10907	TXNL4	non-silencing shRNA	M3_non-silencing shRNA	-0.307401602	0.005079246	-0.229193532	-0.16096585	-0.296899537					
M4	L-010586-00	83658	DNCL2A	ch-TOG shRNA	M4_ch-TOG shRNA	0.767023147	0.664626706	1.955240216	-0.527989213	-0.221651239					
M4	L-010586-00	83658	DNCL2A	non-silencing shRNA	M4_non-silencing shRNA	0.481510007	0.078806192	-0.010563243	-0.137467591	-0.098663087					
M5	L-019939-00	808	CALM3	ch-TOG shRNA	M5_ch-TOG shRNA	-0.611631453	-0.456461357	3.919850823	-1.206103408	-0.768275299					
M5	L-019939-00	808	CALM3	non-silencing shRNA	M5_non-silencing shRNA	0.102411177	1.467450906	0.057646801	-0.217515395	-0.120354253					
M6	L-006824-00	22919	MAPRE1	ch-TOG shRNA	M6_ch-TOG shRNA	1.762638935	1.500622175	1.580713979	0.293538221	-0.010307375	yes	yes	experimental condition and gene		enhancement of ch-TOG multipolar spindle phenotype
M6	L-006824-00	22919	MAPRE1	non-silencing shRNA	M6_non-silencing shRNA	-0.621739258	0.478708647	-0.307277811	-0.157385501	-0.142802268					
M7	L-004961-00	24137	KIF4A	ch-TOG shRNA	M7_ch-TOG shRNA	-0.025805579	-0.140235572	0.39849385	0.35179561	-0.135309874					
M7	L-004961-00	24137	KIF4A	non-silencing shRNA	M7_non-silencing shRNA	-0.442027503	0.365009506	-0.226557666	-0.129750159	-0.145756997					
M8	L-011894-00	6780	STAU	ch-TOG shRNA	M8_ch-TOG shRNA	-0.238922733	-0.167542359	-0.130201517	0.095358776	-0.334604842					
M8	L-011894-00	6780	STAU	non-silencing shRNA	M8_non-silencing shRNA	-0.753798368	0.196091668	-0.306833091	-0.194395372	-0.164569449					
M9	L-021651-01	9696	CROCC	ch-TOG shRNA	M9_ch-TOG shRNA	-0.504755557	-0.189613163	-0.203492362	0.749230941	-0.20672729					
M9	L-021651-01	9696	CROCC	non-silencing shRNA	M9_non-silencing shRNA	0.056716329	1.247054856	-0.087182361	-0.225501471	0.017245884					
