Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-K17661460-001-04-0	BRD-K17661460	(-)-Cinchonidine	Prestwick Chemical Inc.									
BRD-K17674993-001-03-1	BRD-K17674993	Diflorasone Diacetate	Prestwick Chemical Inc.									
BRD-K17850764-001-02-6	BRD-K17850764	CLOPROSTENOL	Biomol International Inc.	yes		GeneID:5737 (activates PTGFR)						
BRD-K18059238-001-02-1	BRD-K18059238	GAMMA-LINOLENIC ACID (18:3 n-6)	Biomol International Inc.	yes				MeSH:D008113 (Liver Neoplasms);MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)			
BRD-K18149487-001-02-8	BRD-K18149487	KUHLMANNIN	MicroSource Discovery Systems Inc.									
BRD-K18172896-001-01-7	BRD-K18172896	5-alpha-PREGNAN-3-alpha-OL-20-ONE	Biomol International Inc.									
BRD-K18250272-003-03-7	BRD-K18250272	Propoxycaine hydrochloride	Prestwick Chemical Inc.									
BRD-K18438502-001-02-6	BRD-K18438502	PINOSYLVIN METHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-K18476269-001-02-9	BRD-K18476269	CINCHONINE	MicroSource Discovery Systems Inc.									
BRD-K18518344-001-03-5	BRD-K18518344	Digitoxigenin	Prestwick Chemical Inc.									
BRD-K18550767-001-02-8	BRD-K18550767	BERGENIN	MicroSource Discovery Systems Inc.									
BRD-K18922609-004-04-1	BRD-K18922609	Neostigmine bromide	Prestwick Chemical Inc.	yes			GO:0004104 (inhibits cholinesterase activity)	MeSH:D009157 (Myasthenia Gravis)	UseClass:8131 (muscular agent)			
BRD-K19111024-001-05-0	BRD-K19111024	Clofibric acid	Prestwick Chemical Inc.	yes				MeSH:D006949 (Hyperlipidemias)	UseClass:8097 (anti-hyperlipidemic)			
BRD-K19227686-001-02-0	BRD-K19227686	PHENOLPHTHALEIN	MicroSource Discovery Systems Inc.	yes				MeSH:D003248 (Constipation)	UseClass:8130 (laxative)			
BRD-K19295594-001-06-9	BRD-K19295594	Gossypol	Prestwick Chemical Inc.	yes		GeneID:595 (affects CCND1);GeneID:3308 (affects HSPA4);GeneID:3315 (affects HSPB1);GeneID:3689 (affects ITGB2);GeneID:7040 (affects TGFB1);GeneID:596 (binds BCL2);GeneID:598 (binds BCL2L1);GeneID:2938 (inhibits GSTA1);GeneID:2950 (inhibits GSTP1);GeneID:25116 (inhibits Hsd11b1);GeneID:3291 (inhibits HSD11B2);GeneID:3948 (inhibits LDHC)	GO:0006915 (activates apoptosis);GO:0000422 (activates mitochondrion degradation);GO:0042554 (activates superoxide anion generation);GO:0006915 (affects apoptosis);GO:0046034 (affects ATP metabolic process);GO:0055074 (affects calcium ion homeostasis);GO:0008219 (affects cell death);GO:0008283 (affects cell proliferation);GO:0006096 (affects glycolysis);GO:0004457 (affects lactate dehydrogenase activity);GO:0008584 (affects male gonad development);GO:0016071 (affects mRNA metabolic process);GO:0006119 (affects oxidative phosphorylation);GO:0004689 (affects phosphorylase kinase activity);GO:0043114 (affects regulation of vascular permeability);GO:0055078 (affects sodium ion homeostasis);GO:0006754 (inhibits ATP biosynthetic process);GO:0046034 (inhibits ATP metabolic process);GO:0016049 (inhibits cell growth);GO:0008283 (inhibits cell proliferation);GO:0071897 (inhibits DNA biosynthetic process);GO:0006001 (inhibits fructose catabolic process);GO:0040007 (inhibits growth);GO:0006954 (inhibits inflammatory response);GO:0034440 (inhibits lipid oxidation);GO:0005746 (inhibits mitochondrial respiratory chain);GO:0004697 (inhibits protein kinase C activity);GO:0030317 (inhibits sperm motility);GO:0007283 (inhibits spermatogenesis);GO:0061370 (inhibits testosterone biosynthetic process);GO:0006412 (inhibits translation);GO:0019058 (inhibits viral infectious cycle)	"MeSH:C535575 (Carcinoma, squamous cell of head and neck);MeSH:D009369 (Neoplasms)"	UseClass:8142 (contraceptive)			
BRD-K19295594-015-02-8	BRD-K19295594	GOSSYPOL-ACETIC ACID COMPLEX	MicroSource Discovery Systems Inc.	yes		GeneID:595 (affects CCND1);GeneID:3308 (affects HSPA4);GeneID:3315 (affects HSPB1);GeneID:3689 (affects ITGB2);GeneID:7040 (affects TGFB1);GeneID:596 (binds BCL2);GeneID:598 (binds BCL2L1);GeneID:2938 (inhibits GSTA1);GeneID:2950 (inhibits GSTP1);GeneID:25116 (inhibits Hsd11b1);GeneID:3291 (inhibits HSD11B2);GeneID:3948 (inhibits LDHC)	GO:0006915 (activates apoptosis);GO:0000422 (activates mitochondrion degradation);GO:0042554 (activates superoxide anion generation);GO:0006915 (affects apoptosis);GO:0046034 (affects ATP metabolic process);GO:0055074 (affects calcium ion homeostasis);GO:0008219 (affects cell death);GO:0008283 (affects cell proliferation);GO:0006096 (affects glycolysis);GO:0004457 (affects lactate dehydrogenase activity);GO:0008584 (affects male gonad development);GO:0016071 (affects mRNA metabolic process);GO:0006119 (affects oxidative phosphorylation);GO:0004689 (affects phosphorylase kinase activity);GO:0043114 (affects regulation of vascular permeability);GO:0055078 (affects sodium ion homeostasis);GO:0006754 (inhibits ATP biosynthetic process);GO:0046034 (inhibits ATP metabolic process);GO:0016049 (inhibits cell growth);GO:0008283 (inhibits cell proliferation);GO:0071897 (inhibits DNA biosynthetic process);GO:0006001 (inhibits fructose catabolic process);GO:0040007 (inhibits growth);GO:0006954 (inhibits inflammatory response);GO:0034440 (inhibits lipid oxidation);GO:0005746 (inhibits mitochondrial respiratory chain);GO:0004697 (inhibits protein kinase C activity);GO:0030317 (inhibits sperm motility);GO:0007283 (inhibits spermatogenesis);GO:0061370 (inhibits testosterone biosynthetic process);GO:0006412 (inhibits translation);GO:0019058 (inhibits viral infectious cycle)	"MeSH:C535575 (Carcinoma, squamous cell of head and neck);MeSH:D009369 (Neoplasms)"	UseClass:8142 (contraceptive)			
BRD-K19309090-300-03-0	BRD-K19309090	SR-95639A	Prestwick Chemical Inc.									
BRD-K19352500-070-02-5	BRD-K19352500	PROCHLORPERAZINE EDISYLATE	MicroSource Discovery Systems Inc.	yes			GO:0004952 (inhibits dopamine receptor activity);GO:0006611 (inhibits protein export from nucleus)	MeSH:D009369 (Neoplasms);MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic);UseClass:8066 (anti-neoplastic);UseClass:8117 (tranquilizer)			
BRD-K19352500-332-03-7	BRD-K19352500	Prochlorperazine dimaleate	Prestwick Chemical Inc.	yes			GO:0004952 (inhibits dopamine receptor activity);GO:0006611 (inhibits protein export from nucleus)	MeSH:D009369 (Neoplasms);MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic);UseClass:8066 (anti-neoplastic);UseClass:8117 (tranquilizer)			
BRD-K19360254-001-01-3	BRD-K19360254	ERGOCORNINE	Biomol International Inc.									
BRD-K19416115-001-01-2	BRD-K19416115	SITAGLIPTIN	MicroSource Discovery Systems Inc.									
BRD-K19438463-001-01-4	BRD-K19438463	"6-CYANO-7-NITROQUINOXALINE-2,3-DIONE"	Biomol International Inc.									
BRD-K19462402-003-03-0	BRD-K19462402	Buflomedil hydrochloride	Prestwick Chemical Inc.									
BRD-K19554809-001-01-1	BRD-K19554809	MK 212	Biomol International Inc.									
BRD-K20043699-001-02-3	BRD-K20043699	PECTOLINARIN	MicroSource Discovery Systems Inc.									
BRD-K20338176-002-03-5	BRD-K20338176	Cefaclor	Prestwick Chemical Inc.									
BRD-K20620780-001-01-0	BRD-K20620780	(+)-BUTACLAMOL	Biomol International Inc.									
BRD-K20655524-003-04-7	BRD-K20655524	Mefexamide hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)			
BRD-K20714604-001-01-5	BRD-K20714604	RS 56812	Biomol International Inc.									
BRD-K20742498-001-01-5	BRD-K20742498	RS 39604	Biomol International Inc.									
BRD-K21283037-001-02-5	BRD-K21283037	RILUZOLE	Biomol International Inc.	yes			GO:0016917 (inhibits GABA receptor activity);GO:0001504 (inhibits neurotransmitter uptake);GO:0005248 (inhibits voltage-gated sodium channel activity)	MeSH:D001008 (Anxiety Disorders);MeSH:D007511 (Ischemia);MeSH:D012640 (Seizures)	UseClass:8082 (anesthetic);UseClass:8123 (anti-anxiety);UseClass:8121 (anti-convulsant);UseClass:8099 (anti-ischemic);UseClass:8115 (hypnotic);UseClass:8120 (psychotropic agent)			
BRD-K21283037-003-03-9	BRD-K21283037	Riluzole hydrochloride	Prestwick Chemical Inc.	yes			GO:0016917 (inhibits GABA receptor activity);GO:0001504 (inhibits neurotransmitter uptake);GO:0005248 (inhibits voltage-gated sodium channel activity)	MeSH:D001008 (Anxiety Disorders);MeSH:D007511 (Ischemia);MeSH:D012640 (Seizures)	UseClass:8082 (anesthetic);UseClass:8123 (anti-anxiety);UseClass:8121 (anti-convulsant);UseClass:8099 (anti-ischemic);UseClass:8115 (hypnotic);UseClass:8120 (psychotropic agent)			
BRD-K21350491-001-02-1	BRD-K21350491	PHENAMIL	Biomol International Inc.	yes			GO:0015280 (inhibits ligand-gated sodium channel activity)					
BRD-K21548250-003-03-5	BRD-K21548250	Moricizine hydrochloride	Prestwick Chemical Inc.									
BRD-K21565985-001-05-0	BRD-K21565985	Xylazine	Prestwick Chemical Inc.	yes			GO:0004938 (activates alpha2-adrenergic receptor activity)	MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8132 (muscle relaxant (spasmolytic));UseClass:8116 (sedative)			
BRD-K21733600-001-02-6	BRD-K21733600	ROFECOXIB	MicroSource Discovery Systems Inc.	yes		GeneID:5743 (inhibits PTGS2)		MeSH:D004412 (Dysmenorrhea);MeSH:D007249 (Inflammation);MeSH:D010003 (Osteoarthritis);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
BRD-K21893543-001-02-8	BRD-K21893543	AZINPHOS METHYL	MicroSource Discovery Systems Inc.	yes					UseClass:8149 (insecticide)			
BRD-K21910317-001-02-4	BRD-K21910317	"2,4-DINITROPHENOL"	MicroSource Discovery Systems Inc.									
BRD-K22031190-001-05-3	BRD-K22031190	Diflunisal	Prestwick Chemical Inc.	yes		GeneID:38 (inhibits ACAT1)		MeSH:D005334 (Fever);MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)			
BRD-K22193694-001-05-2	BRD-K22193694	Dioxybenzone	Prestwick Chemical Inc.									
BRD-K22550622-001-02-7	BRD-K22550622	IRIDIN	MicroSource Discovery Systems Inc.									
BRD-K22936972-003-05-3	BRD-K22936972	Diphenylpyraline hydrochloride	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)						
BRD-K22969690-001-02-6	BRD-K22969690	CHLORAMPHENICOL	MicroSource Discovery Systems Inc.									
BRD-K23327891-001-02-3	BRD-K23327891	RHOIFOLIN	MicroSource Discovery Systems Inc.									
BRD-K23478508-001-03-7	BRD-K23478508	Digoxin	Prestwick Chemical Inc.									
BRD-K23583188-001-05-6	BRD-K23583188	Lavendustin A	Biomol International Inc.	yes		GeneID:6714 (inhibits SRC)	GO:0005006 (inhibits epidermal growth factor receptor activity)	MeSH:D007239 (Infection)	UseClass:8103 (anti-infective agent);UseClass:8065 (anti-proliferative)			
BRD-K23704908-001-03-2	BRD-K23704908	"3,4-dichloroisocoumarin"	Biomol International Inc.	yes		GeneID:3002 (inhibits GZMB)	GO:0006915 (inhibits apoptosis);GO:0006309 (inhibits DNA fragmentation involved in apoptotic nuclear change);GO:0008236 (inhibits serine-type peptidase activity)					
BRD-K23913458-001-02-5	BRD-K23913458	COUMARIN	MicroSource Discovery Systems Inc.									
BRD-K24023109-001-02-5	BRD-K24023109	DILTIAZEM	Biomol International Inc.	yes			GO:0015270 (inhibits dihydropyridine-sensitive calcium channel activity)	MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)			
BRD-K24023109-003-03-9	BRD-K24023109	Diltiazem hydrochloride	Prestwick Chemical Inc.	yes			GO:0015270 (inhibits dihydropyridine-sensitive calcium channel activity)	MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)			
BRD-K24053527-004-02-0	BRD-K24053527	DEXTROMETHORPHAN HYDROBROMIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D003371 (Cough);MeSH:D012640 (Seizures)	UseClass:8121 (anti-convulsant);UseClass:8085 (anti-tussive)			
BRD-K24084088-001-02-2	BRD-K24084088	PARAXANTHINE	MicroSource Discovery Systems Inc.	yes			"GO:0001609 (activates adenosine receptor activity, G-protein coupled)"					
BRD-K24396733-001-01-1	BRD-K24396733	A-77636	Biomol International Inc.									
BRD-K24443173-311-03-7	BRD-K24443173	Coralyne chloride hydrate	Prestwick Chemical Inc.									
BRD-K24453427-001-02-9	BRD-K24453427	ROSOLIC ACID	MicroSource Discovery Systems Inc.									
BRD-K24621118-001-02-5	BRD-K24621118	ACTINONIN	MicroSource Discovery Systems Inc.	yes				MeSH:D007239 (Infection)	UseClass:8103 (anti-infective agent)			
BRD-K24689407-001-04-8	BRD-K24689407	Bromo-7-nitroindazole [3-Bromo-7-nitroindazole]	Biomol International Inc.	yes			GO:0004517 (inhibits nitric-oxide synthase activity)					
BRD-K25140590-001-01-4	BRD-K25140590	"1-(1,3-BENZODIOXOL-5-YLCARBONYL)PIPERIDINE"	Biomol International Inc.									
BRD-K25224017-001-05-2	BRD-K25224017	Pirenperone	Prestwick Chemical Inc.									
BRD-K25394294-001-05-7	BRD-K25394294	Oxaprozin	Prestwick Chemical Inc.	yes			GO:0004666 (inhibits prostaglandin-endoperoxide synthase activity)	"MeSH:D001172 (Arthritis, Rheumatoid);MeSH:D007249 (Inflammation);MeSH:D010003 (Osteoarthritis)"	UseClass:8071 (anti-inflammatory)			
BRD-K25650355-059-02-3	BRD-K25650355	PHYSOSTIGMINE SALICYLATE	MicroSource Discovery Systems Inc.	yes				MeSH:D005901 (Glaucoma)	UseClass:8134 (miotic)			
BRD-K25741894-001-03-8	BRD-K25741894	Skimmianine	Prestwick Chemical Inc.									
BRD-K25811799-001-02-7	BRD-K25811799	METHYL ROBUSTONE	MicroSource Discovery Systems Inc.									
BRD-K25905511-001-02-4	BRD-K25905511	BUDDLEOFLAVONOLOSIDE	MicroSource Discovery Systems Inc.									
BRD-K26005076-001-03-7	BRD-K26005076	Gramine	Prestwick Chemical Inc.									
BRD-K26117720-001-02-2	BRD-K26117720	GINGEROL	Biomol International Inc.	yes					UseClass:8102 (anti-coagulant)			
BRD-K26140483-001-01-3	BRD-K26140483	ACETYLSEROTONIN	MicroSource Discovery Systems Inc.									
BRD-K26376097-001-02-9	BRD-K26376097	"5beta-12-METHOXY-4,4-BISNOR-8,11,13-PODOCARPATRIEN-3-ONE"	MicroSource Discovery Systems Inc.									
BRD-K26383086-001-02-8	BRD-K26383086	EUPARIN	MicroSource Discovery Systems Inc.									
BRD-K26548821-001-01-8	BRD-K26548821	(-)-QUINPIROLE	Biomol International Inc.									
BRD-K26548821-003-03-0	BRD-K26548821	(-)-Quinpirole hydrochloride	Prestwick Chemical Inc.									
BRD-K26739552-003-05-5	BRD-K26739552	Fenspiride hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8088 (bronchodilator)			
BRD-K26862302-001-02-9	BRD-K26862302	DIOSMETIN	MicroSource Discovery Systems Inc.									
BRD-K27130738-236-03-4	BRD-K27130738	Cefamandole sodium salt	Prestwick Chemical Inc.									
BRD-K27217864-001-05-8	BRD-K27217864	Butamben	Prestwick Chemical Inc.	yes					UseClass:8082 (anesthetic)			
BRD-K27316855-001-02-6	BRD-K27316855	"1,25-DIHYDROXYVITAMIN D3"	Biomol International Inc.	yes			GO:0004697 (activates protein kinase C activity);GO:0003700 (binds sequence-specific DNA binding transcription factor activity)		UseClass:8065 (anti-proliferative)			
BRD-K27351809-001-02-0	BRD-K27351809	Nomegestrol acetate	Prestwick Chemical Inc.									
BRD-K27450477-001-03-9	BRD-K27450477	EHNA	Biomol International Inc.	yes		GeneID:5138 (inhibits PDE2A)	GO:0004000 (inhibits adenosine deaminase activity)					
BRD-K27499107-001-02-6	BRD-K27499107	CARBACYCLIN	Biomol International Inc.									
BRD-K27710560-001-02-6	BRD-K27710560	Splitomycin	Biomol International Inc.									
BRD-K27721098-065-02-9	BRD-K27721098	CLOPIDOGREL SULFATE	MicroSource Discovery Systems Inc.	yes		GeneID:64805 (inhibits P2RY12)		MeSH:D013927 (Thrombosis)	UseClass:8102 (anti-coagulant)			
BRD-K27737647-001-04-2	BRD-K27737647	H-89	Biomol International Inc.	yes			GO:0004691 (inhibits cAMP-dependent protein kinase activity)					
BRD-K27853494-001-02-5	BRD-K27853494	"1R,2S-PHENYLPROPYLAMINE"	MicroSource Discovery Systems Inc.									
BRD-K27871032-001-04-2	BRD-K27871032	Lysergol	Prestwick Chemical Inc.									
BRD-K28143534-001-01-4	BRD-K28143534	CYPROHEPTADINE	Biomol International Inc.									
BRD-K28143534-003-03-6	BRD-K28143534	Cyproheptadine hydrochloride	Prestwick Chemical Inc.									
BRD-K28183345-003-05-6	BRD-K28183345	Proguanil hydrochloride	Prestwick Chemical Inc.									
BRD-K28210218-236-05-7	BRD-K28210218	Cephalothin sodium salt	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K28307902-001-05-0	BRD-K28307902	Flutamide	Prestwick Chemical Inc.	yes		GeneID:367 (inhibits AR)		MeSH:D006628 (Hirsutism);MeSH:D011471 (Prostatic Neoplasms)	UseClass:8144 (hormone antagonist)			
BRD-K28453807-003-03-9	BRD-K28453807	Nitrocaramiphen hydrochloride	Prestwick Chemical Inc.									
BRD-K28494619-001-05-0	BRD-K28494619	Sulfamethoxazole	Prestwick Chemical Inc.	yes		GeneID:1719 (inhibits DHFR)	GO:0004156 (binds dihydropteroate synthase activity)	"MeSH:D001424 (Bacterial Infections);MeSH:D004751 (Enteritis);""MeSH:D018410 (Pneumonia, Bacterial)"";MeSH:D014552 (Urinary Tract Infections)"	UseClass:8104 (anti-bacterial)			
BRD-K28542495-003-03-6	BRD-K28542495	Benzydamine hydrochloride	Prestwick Chemical Inc.									
BRD-K28667196-001-02-9	BRD-K28667196	Fillalbin	Prestwick Chemical Inc.									
BRD-K28680267-001-01-8	BRD-K28680267	METHYL-beta-CARBOLINE-3-CARBOXYLATE	Biomol International Inc.									
BRD-K28698314-001-01-3	BRD-K28698314	ANTIAROL	MicroSource Discovery Systems Inc.									
BRD-K28761891-001-01-0	BRD-K28761891	RAMELTEON	MicroSource Discovery Systems Inc.									
BRD-K28806945-001-01-9	BRD-K28806945	"L-750,667"	Biomol International Inc.									
BRD-K28936863-051-05-8	BRD-K28936863	Ketotifen fumarate	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)		MeSH:D001249 (Asthma);MeSH:D011537 (Pruritus)	UseClass:8078 (anti-asthmatic);UseClass:8072 (anti-histamine);UseClass:8122 (anti-pruritic)			
BRD-K29113274-001-03-6	BRD-K29113274	Ketoconazole	Prestwick Chemical Inc.									
BRD-K29133151-001-02-4	BRD-K29133151	"7-[2-TRIFLUOROMETHYL-4-(2-HYDROXYPHENYL)-1,3-DIOXAN-cis-5-YL]-HEPT-5Z-ENOIC ACID"	MicroSource Discovery Systems Inc.									
BRD-K29160894-001-02-9	BRD-K29160894	GENKWANIN	MicroSource Discovery Systems Inc.									
BRD-K29359156-001-06-1	BRD-K29359156	Ebselen	Biomol International Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D008107 (Liver Diseases);MeSH:D020521 (Stroke)	UseClass:8071 (anti-inflammatory);UseClass:8137 (anti-oxidant)			
BRD-K29458283-001-05-9	BRD-K29458283	Chlorambucil	Prestwick Chemical Inc.	yes				MeSH:D001943 (Breast Neoplasms);MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)			
BRD-K29555132-001-02-2	BRD-K29555132	ARACHIDONAMIDE	Biomol International Inc.	yes		GeneID:1268 (activates CNR1);GeneID:1269 (activates CNR2)						
BRD-K29582677-001-02-7	BRD-K29582677	FLUNARIZINE	Biomol International Inc.	yes			GO:0008332 (inhibits low voltage-gated calcium channel activity);GO:0005272 (inhibits sodium channel activity)		UseClass:8114 (neuroprotective agent);UseClass:8092 (vasodilator)			
BRD-K29582677-300-05-6	BRD-K29582677	Flunarizine dihydrochloride	Prestwick Chemical Inc.	yes			GO:0008332 (inhibits low voltage-gated calcium channel activity);GO:0005272 (inhibits sodium channel activity)		UseClass:8114 (neuroprotective agent);UseClass:8092 (vasodilator)			
BRD-K29713308-077-02-5	BRD-K29713308	MEBHYDROLIN NAPHTHALENESULFONATE	MicroSource Discovery Systems Inc.									
BRD-K29883696-001-04-2	BRD-K29883696	Parthenolide	Biomol International Inc.									
BRD-K29950728-048-02-6	BRD-K29950728	CLOMIPHENE CITRATE	MicroSource Discovery Systems Inc.	yes					UseClass:8141 (hormonal agent)			
BRD-K30197592-001-01-5	BRD-K30197592	5-METHOXYTRYPTAMINE	Biomol International Inc.									
BRD-K30199352-001-02-9	BRD-K30199352	"ANANDAMIDE (22:4,n-6)"	Biomol International Inc.	yes			GO:0004949 (binds cannabinoid receptor activity)					
BRD-K30240666-051-05-0	BRD-K30240666	Clemastine fumarate	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)			
BRD-K30296925-001-02-1	BRD-K30296925	FLAVOKAWAIN B	MicroSource Discovery Systems Inc.									
BRD-K30421593-050-02-3	BRD-K30421593	TIMOLOL MALEATE	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000429 (inhibits Beta adrenergic receptor)	GeneID:154 (inhibits ADRB2)						
BRD-K30455030-001-03-3	BRD-K30455030	Latrunculin B	Biomol International Inc.									
BRD-K30480208-001-05-2	BRD-K30480208	Torsemide	Prestwick Chemical Inc.									
BRD-K30553453-001-05-8	BRD-K30553453	Hesperetin	Prestwick Chemical Inc.	yes				MeSH:D009369 (Neoplasms);MeSH:D013035 (Spasm)	UseClass:8066 (anti-neoplastic);UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-K30685142-001-05-5	BRD-K30685142	Thyroxine (L)	Prestwick Chemical Inc.									
BRD-K30867024-001-01-1	BRD-K30867024	SB 216641	Biomol International Inc.									
BRD-K30984264-003-03-5	BRD-K30984264	Harmine hydrochloride	Prestwick Chemical Inc.									
BRD-K31023358-001-02-4	BRD-K31023358	PURPUROGALLIN	MicroSource Discovery Systems Inc.	yes		GeneID:1956 (inhibits EGFR)						
BRD-K31339597-001-01-7	BRD-K31339597	SDZ SER 082	Biomol International Inc.									
BRD-K31491153-003-02-6	BRD-K31491153	1-PHENYLBIGUANIDE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000421 (activates 5-hydroxytryptamine 3 receptor)				UseClass:8113 (cns agent)			
BRD-K31611373-001-02-7	BRD-K31611373	FLUPROSTENOL	Biomol International Inc.	yes		GeneID:5737 (activates PTGFR)						
BRD-K31627533-001-03-8	BRD-K31627533	Rimexolone	Prestwick Chemical Inc.									
BRD-K31678817-001-02-0	BRD-K31678817	ISOBERGAPTENE	MicroSource Discovery Systems Inc.									
BRD-K31682896-001-05-9	BRD-K31682896	Sulfamethizole	Prestwick Chemical Inc.	yes			GO:0046656 (inhibits folic acid biosynthetic process)	MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)			
BRD-K32021043-001-05-1	BRD-K32021043	Sulfachloropyridazine	Prestwick Chemical Inc.									
BRD-K32049721-001-02-8	BRD-K32049721	LONCHOCARPIC ACID	MicroSource Discovery Systems Inc.									
BRD-K32164935-001-06-8	BRD-K32164935	TOLAZAMIDE	Biomol International Inc.	yes				MeSH:D044882 (Glucose Metabolism Disorders)				
BRD-K32247306-001-05-4	BRD-K32247306	PRIMIDONE	Biomol International Inc.	yes				MeSH:D012640 (Seizures)	UseClass:8121 (anti-convulsant)			
BRD-K32256916-001-02-4	BRD-K32256916	CINNARAZINE	MicroSource Discovery Systems Inc.	yes		GeneID:3269 (inhibits HRH1)						
BRD-K32273377-001-05-4	BRD-K32273377	Sulfadiazine	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K32501161-001-01-7	BRD-K32501161	GBR-12909	Biomol International Inc.									
BRD-K32501161-300-03-9	BRD-K32501161	GBR 12909 dihydrochloride	Prestwick Chemical Inc.									
BRD-K32582260-001-02-5	BRD-K32582260	PROMETRYN	MicroSource Discovery Systems Inc.									
BRD-K32584078-001-02-3	BRD-K32584078	BML-257	Biomol International Inc.									
BRD-K32595626-001-01-8	BRD-K32595626	ALDICARB	MicroSource Discovery Systems Inc.									
BRD-K32755366-003-03-4	BRD-K32755366	Reserpinic acid hydrochloride	Prestwick Chemical Inc.									
BRD-K32821942-001-05-6	BRD-K32821942	Azathioprine	Prestwick Chemical Inc.	yes				"MeSH:D001172 (Arthritis, Rheumatoid)"	UseClass:8070 (immunosuppressive agent)			
BRD-K32828673-002-03-9	BRD-K32828673	Chelidonine (+)	Prestwick Chemical Inc.									
BRD-K32830106-003-03-0	BRD-K32830106	Guanfacine hydrochloride	Prestwick Chemical Inc.									
BRD-K32857660-001-02-7	BRD-K32857660	SAPPANONE A DIMETHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-K33104513-001-02-2	BRD-K33104513	"LEVULINIC ACID,  3-BENZYLIDENYL-"	MicroSource Discovery Systems Inc.									
BRD-K33204703-001-04-6	BRD-K33204703	AG-370	Biomol International Inc.	yes		GeneID:1956 (inhibits EGFR);GeneID:5159 (inhibits PDGFRB)						
BRD-K33211335-337-03-7	BRD-K33211335	Dextromethorphan hydrobromide monohydrate	Prestwick Chemical Inc.									
BRD-K33260002-001-02-0	BRD-K33260002	SPHONDIN	MicroSource Discovery Systems Inc.									
BRD-K33396764-001-02-0	BRD-K33396764	LINOLENIC ACID (18:3 n-3)	Biomol International Inc.									
BRD-K33400588-003-01-2	BRD-K33400588	A 68930	Biomol International Inc.									
BRD-K33453211-003-03-2	BRD-K33453211	Levocabastine hydrochloride	Prestwick Chemical Inc.									
BRD-K33583600-001-04-7	BRD-K33583600	ISOLIQUIRITIGENIN	MicroSource Discovery Systems Inc.									
BRD-K33710385-001-05-4	BRD-K33710385	Ethionamide	Prestwick Chemical Inc.	yes				MeSH:D014376 (Tuberculosis)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)			
BRD-K33986892-001-02-3	BRD-K33986892	BENTAZON	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide)			
BRD-K34014345-001-02-6	BRD-K34014345	NAPROXOL	MicroSource Discovery Systems Inc.									
BRD-K34092021-001-02-3	BRD-K34092021	Arvanil	Biomol International Inc.									
BRD-K34154330-003-03-1	BRD-K34154330	Tracazolate hydrochloride	Prestwick Chemical Inc.									
BRD-K34157611-001-04-6	BRD-K34157611	Cimetidine	Prestwick Chemical Inc.									
BRD-K34252131-001-02-0	BRD-K34252131	NEOPINE	MicroSource Discovery Systems Inc.									
BRD-K34359596-001-02-1	BRD-K34359596	BENZYLBUTYLPHTHALATE	MicroSource Discovery Systems Inc.									
BRD-K34388247-236-02-5	BRD-K34388247	METHICILLIN SODIUM	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K34415467-003-05-6	BRD-K34415467	Trimethobenzamide hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic)			
