Compound Broad Identifier	Compound Broad Identifier Short	Compound Broad Identifier_Compound Group	Compound Name	Compound Source	PubChem InChIKey	ChEMBL Identifier	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-A92537424-001-02-1	BRD-A92537424	BRD-A92537424-001-02-1_BBBC022	DANAZOL	MicroSource Discovery Systems Inc.	POZRVZJJTULAOH-GSQPBCFPSA-N		yes				MeSH:D004715 (Endometriosis);MeSH:D008595 (Menorrhagia);MeSH:D011293 (Premenstrual Syndrome)				
BRD-A93000692-001-02-4	BRD-A93000692	BRD-A93000692-001-02-4_BBBC022	CIGLITAZONE	Biomol International Inc.	YZFWTZACSRHJQD-UHFFFAOYSA-N	CHEMBL7002	yes		GeneID:5468 (activates PPARG)		MeSH:D001161 (Arteriosclerosis);MeSH:D044882 (Glucose Metabolism Disorders)	UseClass:8089 (cardiovascular agent)			
BRD-A93236127-001-02-9	BRD-A93236127	BRD-A93236127-001-02-9_BBBC022	DIGITOXIN	MicroSource Discovery Systems Inc.	WDJUZGPOPHTGOT-XUDUSOBPSA-N;WDJUZGPOPHTGOT-KSVSUYAUSA-N	CHEMBL254219	yes				MeSH:D006331 (Heart Diseases)	UseClass:8089 (cardiovascular agent)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-A94624445-236-02-2	BRD-A94624445	BRD-A94624445-236-02-2_BBBC022	dibutyrylcyclic AMP	Biomol International Inc.	CJGYSWNGNKCJSB-YVLZZHOMSA-N	CHEMBL485980	yes			GO:0004691 (activates cAMP-dependent protein kinase activity)					
BRD-A94756469-001-02-1	BRD-A94756469	BRD-A94756469-001-02-1_BBBC022	DIGOXIN	MicroSource Discovery Systems Inc.	LTMHDMANZUZIPE-QVYPYPLASA-N		yes					UseClass:8089 (cardiovascular agent)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-A95207036-001-02-8	BRD-A95207036	BRD-A95207036-001-02-8_BBBC022	CYPROTERONE ACETATE	MicroSource Discovery Systems Inc.	UWFYSQMTEOIJJG-WMANOXGZSA-N		yes		GeneID:367 (inhibits AR)			UseClass:8144 (hormone antagonist)			
BRD-A95869247-001-04-6	BRD-A95869247	BRD-A95869247-001-04-6_BBBC022	Indapamide	Prestwick Chemical Inc.	NDDAHWYSQHTHNT-UHFFFAOYSA-N	CHEMBL406	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)			
BRD-A96897502-001-02-0	BRD-A96897502	BRD-A96897502-001-02-0_BBBC022	U-74389G	Biomol International Inc.	LBGLGTAQLROFTM-PAHCNOFYSA-N		yes					UseClass:8137 (anti-oxidant)			
BRD-A97104540-004-04-4	BRD-A97104540	BRD-A97104540-004-04-4_BBBC022	Fenoterol hydrobromide	Prestwick Chemical Inc.	LSLYOANBFKQKPT-UHFFFAOYSA-N	CHEMBL32800	yes		GeneID:154 (activates ADRB2)	GO:0004939 (activates beta-adrenergic receptor activity)		UseClass:8088 (bronchodilator)			
BRD-A97437073-001-02-3	BRD-A97437073	BRD-A97437073-001-02-3_BBBC022	ROSIGLITAZONE	MicroSource Discovery Systems Inc.	YASAKCUCGLMORW-UHFFFAOYSA-N	CHEMBL121	yes		GeneID:19016 (activates Pparg);GeneID:5468 (activates PPARG)	GO:0045444 (activates fat cell differentiation);GO:0046323 (activates glucose import);GO:0070541 (affects response to platinum ion)	"MeSH:D003924 (Diabetes Mellitus, Type 2);MeSH:D005234 (Fatty Liver);MeSH:D011085 (Polycystic Ovary Syndrome)"				
BRD-A97479839-003-05-9	BRD-A97479839	BRD-A97479839-003-05-9_BBBC022	Piperidolate hydrochloride	Prestwick Chemical Inc.	KTHVBAZBLKXIHZ-UHFFFAOYSA-N		yes				MeSH:D010146 (Pain)	UseClass:8081 (analgesic)			
BRD-A97701745-001-05-3	BRD-A97701745	BRD-A97701745-001-05-3_BBBC022	Pindolol	Prestwick Chemical Inc.	JZQKKSLKJUAGIC-UHFFFAOYSA-N	CHEMBL500	yes		GeneID:154 (inhibits ADRB2);GeneID:155 (inhibits ADRB3)	GO:0004939 (inhibits beta-adrenergic receptor activity)		UseClass:8092 (vasodilator)			
BRD-A97739905-001-05-9	BRD-A97739905	BRD-A97739905-001-05-9_BBBC022	Ketoprofen	Prestwick Chemical Inc.	DKYWVDODHFEZIM-UHFFFAOYSA-N	CHEMBL571	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
BRD-A98299281-050-04-7	BRD-A98299281	BRD-A98299281-050-04-7_BBBC022	"Hydroxytacrine maleate (R,S)"	Prestwick Chemical Inc.	HLVVITIHAZBPKB-UHFFFAOYSA-N	CHEMBL51934	yes			GO:0004104 (inhibits cholinesterase activity)	MeSH:D010300 (Parkinson Disease)				
BRD-A99402294-236-02-0	BRD-A99402294	BRD-A99402294-236-02-0_BBBC022	NAFCILLIN SODIUM	MicroSource Discovery Systems Inc.	PLIGJUHHTJAZTH-WDOBJEIGSA-N		yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-A99633051-001-04-7	BRD-A99633051	BRD-A99633051-001-04-7_BBBC022	Ethosuximide	Prestwick Chemical Inc.	HAPOVYFOVVWLRS-UHFFFAOYSA-N	CHEMBL696	yes				"MeSH:D004832 (Epilepsy, Absence);MeSH:D012640 (Seizures)"	UseClass:8121 (anti-convulsant)			
BRD-K00184207-001-02-4	BRD-K00184207	BRD-K00184207-001-02-4_BBBC022	"6-FORMYLINDOLO [3,2-B] CARBAZOLE"	Biomol International Inc.	ZUDXFBWDXVNRKF-UHFFFAOYSA-N	CHEMBL472031	yes		GeneID:1543 (activates CYP1A1)						
BRD-K00259736-001-06-5	BRD-K00259736	BRD-K00259736-001-06-5_BBBC022	Colchicine	Prestwick Chemical Inc.	IAKHMKGGTNLKSZ-INIZCTEOSA-N	CHEMBL107	yes				MeSH:D006073 (Gout);MeSH:D007249 (Inflammation);MeSH:D014777 (Virus Diseases)	UseClass:8071 (anti-inflammatory);UseClass:8065 (anti-proliferative);UseClass:8106 (anti-viral)	yes	cellular response to chemical stimulus	
BRD-K00603606-003-03-4	BRD-K00603606	BRD-K00603606-003-03-4_BBBC022	Ticlopidine hydrochloride	Prestwick Chemical Inc.	PHWBOXQYWZNQIN-UHFFFAOYSA-N	CHEMBL833	yes				MeSH:D020521 (Stroke)	UseClass:8089 (cardiovascular agent)	yes	cellular response to chemical stimulus	
BRD-K00938507-001-05-3	BRD-K00938507	BRD-K00938507-001-05-3_BBBC022	Sulfamethoxypyridazine	Prestwick Chemical Inc.	VLYWMPOKSSWJAL-UHFFFAOYSA-N	CHEMBL268869	yes		GeneID:1719 (inhibits DHFR)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)			
BRD-K01244426-236-05-5	BRD-K01244426	BRD-K01244426-236-05-5_BBBC022	Cloxacillin sodium salt	Prestwick Chemical Inc.	LQOLIRLGBULYKD-JKIFEVAISA-N	CHEMBL891	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K01473791-001-02-2	BRD-K01473791	BRD-K01473791-001-02-2_BBBC022	"2,4-DICHLOROPHENOXYACETIC ACID"	MicroSource Discovery Systems Inc.	OVSKIKFHRZPJSS-UHFFFAOYSA-N	CHEMBL367623	yes					UseClass:8146 (herbicide)			
BRD-K01815685-001-02-3	BRD-K01815685	BRD-K01815685-001-02-3_BBBC022	INDOLE-3-CARBINOL	MicroSource Discovery Systems Inc.	IVYPNXXAYMYVSP-UHFFFAOYSA-N	CHEMBL155625	yes		GeneID:1021 (affects CDK6)	GO:0007050 (activates cell cycle arrest);GO:0007049 (affects cell cycle)		UseClass:8137 (anti-oxidant)			
BRD-K01824921-001-02-9	BRD-K01824921	BRD-K01824921-001-02-9_BBBC022	"1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]"	MicroSource Discovery Systems Inc.	FFBDFADSZUINTG-UHFFFAOYSA-N	CHEMBL183	yes		GeneID:134 (inhibits ADORA1)						
BRD-K01902415-001-02-6	BRD-K01902415	BRD-K01902415-001-02-6_BBBC022	WY-14643	Biomol International Inc.	SZRPDCCEHVWOJX-UHFFFAOYSA-N	CHEMBL295416	yes		GeneID:5465 (activates PPARA)		MeSH:D001161 (Arteriosclerosis)	UseClass:8089 (cardiovascular agent)			
BRD-K01950558-001-05-5	BRD-K01950558	BRD-K01950558-001-05-5_BBBC022	Succinylsulfathiazole	Prestwick Chemical Inc.	SKVLYVHULOWXTD-UHFFFAOYSA-N	CHEMBL1484857	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K02265150-001-05-9	BRD-K02265150	BRD-K02265150-001-05-9_BBBC022	Amoxapine	Prestwick Chemical Inc.	QWGDMFLQWFTERH-UHFFFAOYSA-N	CHEMBL1113	yes			GO:0001504 (inhibits neurotransmitter uptake)	MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant);UseClass:8072 (anti-histamine)			
BRD-K02404261-001-03-5	BRD-K02404261	BRD-K02404261-001-03-5_BBBC022	CAFFEINE	MicroSource Discovery Systems Inc.	RYYVLZVUVIJVGH-UHFFFAOYSA-N	CHEMBL113	yes			"GO:0001609 (inhibits adenosine receptor activity, G-protein coupled)"		UseClass:8100 (cardiac stimulant);UseClass:8113 (cns agent)			
BRD-K02548315-001-02-7	BRD-K02548315	BRD-K02548315-001-02-7_BBBC022	ALACHLOR	MicroSource Discovery Systems Inc.	XCSGPAVHZFQHGE-UHFFFAOYSA-N	CHEMBL1414154	yes					UseClass:8146 (herbicide)			
BRD-K02637541-001-02-4	BRD-K02637541	BRD-K02637541-001-02-4_BBBC022	CELECOXIB	MicroSource Discovery Systems Inc.	RZEKVGVHFLEQIL-UHFFFAOYSA-N	CHEMBL118	yes		GeneID:5743 (inhibits PTGS2)		"MeSH:D011125 (Adenomatous Polyposis Coli);""MeSH:D001172 (Arthritis, Rheumatoid)"";MeSH:D010003 (Osteoarthritis)"		yes	cellular response to chemical stimulus	
BRD-K02837237-001-02-9	BRD-K02837237	BRD-K02837237-001-02-9_BBBC022	"S,S,S,-TRIBUTYLPHOSPHOROTRITHIOATE"	MicroSource Discovery Systems Inc.	ZOKXUAHZSKEQSS-UHFFFAOYSA-N	CHEMBL1901047	yes					UseClass:8146 (herbicide);UseClass:8149 (insecticide)			
BRD-K02867583-300-05-5	BRD-K02867583	BRD-K02867583-300-05-5_BBBC022	Minaprine dihydrochloride	Prestwick Chemical Inc.	LDMWSLGGVTVJPG-UHFFFAOYSA-N	CHEMBL278819	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)		GO:0015872 (affects dopamine transport)		UseClass:8114 (neuroprotective agent);UseClass:8120 (psychotropic agent)			
BRD-K02953697-002-03-3	BRD-K02953697	BRD-K02953697-002-03-3_BBBC022	Naringin hydrate	Prestwick Chemical Inc.	DFPMSGMNTNDNHN-ZPHOTFPESA-N	CHEMBL451532	yes				MeSH:D006470 (Hemorrhage)	UseClass:8101 (anti-hemorrhagic)			
BRD-K02965577-001-02-6	BRD-K02965577	BRD-K02965577-001-02-6_BBBC022	"24,25-DIHYDROXYVITAMIN D3"	Biomol International Inc.	FCKJYANJHNLEEP-QJQBGXGLSA-N		yes			GO:0005262 (inhibits calcium channel activity);GO:0006816 (inhibits calcium ion transport)					
BRD-K03842655-001-02-1	BRD-K03842655	BRD-K03842655-001-02-1_BBBC022	PENITREM A	Biomol International Inc.	JDUWHZOLEDOQSR-JKPSMKLGSA-N		yes			GO:0015269 (inhibits calcium-activated potassium channel activity)		UseClass:8113 (cns agent)	yes	cellular response to chemical stimulus	decreased cell numbers
BRD-K04010869-001-02-6	BRD-K04010869	BRD-K04010869-001-02-6_BBBC022	PROSTAGLANDIN A1	Biomol International Inc.	BGKHCLZFGPIKKU-LDDQNKHRSA-N	CHEMBL1084644	yes				MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)			
BRD-K04430056-001-02-9	BRD-K04430056	BRD-K04430056-001-02-9_BBBC022	7-NITROINDAZOLE	MicroSource Discovery Systems Inc.	PQCAUHUKTBHUSA-UHFFFAOYSA-N	CHEMBL247378	yes		GeneID:4842 (inhibits NOS1)	GO:0004517 (inhibits nitric-oxide synthase activity)					
BRD-K04804440-311-02-3	BRD-K04804440	BRD-K04804440-311-02-3_BBBC022	Ciprofloxacin hydrochloride	Prestwick Chemical Inc.	MYSWGUAQZAJSOK-UHFFFAOYSA-N	CHEMBL8	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)	GeneID:1544 (inhibits CYP1A2)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)			
BRD-K04877770-001-03-4	BRD-K04877770	BRD-K04877770-001-03-4_BBBC022	B581	Biomol International Inc.	QISLMXIYRQCLIR-FUMNGEBKSA-N	CHEMBL91722	yes		GeneID:2224 (inhibits FDPS)						
BRD-K05236810-001-05-9	BRD-K05236810	BRD-K05236810-001-05-9_BBBC022	Luteolin	Prestwick Chemical Inc.	IQPNAANSBPBGFQ-UHFFFAOYSA-N	CHEMBL151	yes		GeneID:7150 (inhibits TOP1)						
BRD-K05395900-322-02-1	BRD-K05395900	BRD-K05395900-322-02-1_BBBC022	NICOTINE DITARTRATE	MicroSource Discovery Systems Inc.	SNICXCGAKADSCV-UHFFFAOYSA-N;SNICXCGAKADSCV-JTQLQIEISA-N	CHEMBL440464;CHEMBL3	yes	CBPROTID:1000306 (activates Nicotinic acetylcholine receptor)	GeneID:1139 (activates CHRNA7)		MeSH:D013375 (Substance Withdrawal Syndrome)				
BRD-K05434375-001-04-0	BRD-K05434375	BRD-K05434375-001-04-0_BBBC022	HA-1004	Biomol International Inc.	MZNDNBFMSVMUCX-UHFFFAOYSA-N	CHEMBL143054	yes			GO:0016301 (inhibits kinase activity)					
BRD-K05528470-001-01-9	BRD-K05528470	BRD-K05528470-001-01-9_BBBC022	"L-745,870"	Biomol International Inc.	OGJGQVFWEPNYSB-UHFFFAOYSA-N	CHEMBL267014	yes		GeneID:1815 (inhibits DRD4)						
BRD-K05653692-001-02-5	BRD-K05653692	BRD-K05653692-001-02-5_BBBC022	DL-PDMP	Biomol International Inc.	UYNCFCUHRNOSCN-FYYLOGMGSA-N	CHEMBL416418	yes				MeSH:D009362 (Neoplasm Metastasis)	UseClass:8066 (anti-neoplastic);UseClass:8065 (anti-proliferative)			
BRD-K05673000-323-02-8	BRD-K05673000	BRD-K05673000-323-02-8_BBBC022	Dicloxacillin sodium salt	Prestwick Chemical Inc.	YFAGHNZHGGCZAX-JKIFEVAISA-N	CHEMBL893	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K05977355-001-02-6	BRD-K05977355	BRD-K05977355-001-02-6_BBBC022	FLUCONAZOLE	MicroSource Discovery Systems Inc.	RFHAOTPXVQNOHP-UHFFFAOYSA-N	CHEMBL106	yes				"MeSH:D000163 (Acquired Immunodeficiency Syndrome);""MeSH:D002181 (Candidiasis, Vulvovaginal)"";MeSH:D009181 (Mycoses)"	UseClass:8105 (anti-fungal)			
BRD-K06181161-048-04-5	BRD-K06181161	BRD-K06181161-048-04-5_BBBC022	Carbetapentane citrate	Prestwick Chemical Inc.	CFJMRBQWBDQYMK-UHFFFAOYSA-N	CHEMBL73234	yes				MeSH:D003371 (Cough)	UseClass:8085 (anti-tussive)			
BRD-K06208435-001-02-9	BRD-K06208435	BRD-K06208435-001-02-9_BBBC022	YS035	Biomol International Inc.	OXZMQFKVNVQMLI-UHFFFAOYSA-N		yes			GO:0005262 (inhibits calcium channel activity)					
BRD-K06467078-003-03-7	BRD-K06467078	BRD-K06467078-003-03-7_BBBC022	Corynanthine hydrochloride	Prestwick Chemical Inc.	BLGXFZZNTVWLAY-DKJBZYCGSA-N	CHEMBL31410	yes			GO:0004937 (inhibits alpha1-adrenergic receptor activity)					
BRD-K06543683-001-04-4	BRD-K06543683	BRD-K06543683-001-04-4_BBBC022	Ro 31-8220	Biomol International Inc.	DSXXEELGXBCYNQ-UHFFFAOYSA-N	CHEMBL6291	yes		GeneID:6196 (inhibits RPS6KA2)	GO:0004697 (inhibits protein kinase C activity)			yes	cellular response to chemical stimulus	
BRD-K06854232-001-02-5	BRD-K06854232	BRD-K06854232-001-02-5_BBBC022	AM-580	Biomol International Inc.	SZWKGOZKRMMLAJ-UHFFFAOYSA-N	CHEMBL69367	yes		GeneID:5914 (activates RARA);GeneID:5915 (activates RARB);GeneID:5916 (activates RARG)						
BRD-K06902185-001-05-2	BRD-K06902185	BRD-K06902185-001-05-2_BBBC022	MINOXIDIL	Biomol International Inc.	ZIMGGGWCDYVHOY-UHFFFAOYSA-N	CHEMBL802	yes	CBPROTID:1000252 (activates Soluble guanylate cyclase)	GeneID:5351 (inhibits PLOD1)	GO:0005267 (activates potassium channel activity)	MeSH:D000505 (Alopecia);MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive)			
BRD-K07208025-001-06-5	BRD-K07208025	BRD-K07208025-001-06-5_BBBC022	Trimethoprim	Prestwick Chemical Inc.	IEDVJHCEMCRBQM-UHFFFAOYSA-N	CHEMBL22	yes		GeneID:1719 (inhibits DHFR)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K07220430-001-03-6	BRD-K07220430	BRD-K07220430-001-03-6_BBBC022	Cinnarizine	Prestwick Chemical Inc.	DERZBLKQOCDDDZ-JLHYYAGUSA-N	CHEMBL43064	yes		GeneID:3269 (inhibits HRH1)						
BRD-K07572174-001-02-2	BRD-K07572174	BRD-K07572174-001-02-2_BBBC022	CURCUMIN	MicroSource Discovery Systems Inc.	VFLDPWHFBUODDF-FCXRPNKRSA-N	CHEMBL140	yes				MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)			
BRD-K08033334-003-02-7	BRD-K08033334	BRD-K08033334-003-02-7_BBBC022	LINCOMYCIN HYDROCHLORIDE	MicroSource Discovery Systems Inc.	OJMMVQQUTAEWLP-KIDUDLJLSA-N;OJMMVQQUTAEWLP-LPSAIEBYSA-N	CHEMBL1447	yes				MeSH:D007239 (Infection)	UseClass:8103 (anti-infective agent)			
BRD-K08078237-001-07-3	BRD-K08078237	BRD-K08078237-001-07-3_BBBC022	TETRANDRINE	Biomol International Inc.	WVTKBKWTSCPRNU-KYJUHHDHSA-N	CHEMBL176045	yes			GO:0015269 (inhibits calcium-activated potassium channel activity);GO:0003924 (inhibits GTPase activity);GO:0004623 (inhibits phospholipase A2 activity)			yes	cellular response to chemical stimulus	
BRD-K08111712-001-02-7	BRD-K08111712	BRD-K08111712-001-02-7_BBBC022	Chloramphenicol	Prestwick Chemical Inc.	WIIZWVCIJKGZOK-RKDXNWHRSA-N;WIIZWVCIJKGZOK-UHFFFAOYSA-N	CHEMBL130	yes				"MeSH:D001424 (Bacterial Infections);""MeSH:D016920 (Meningitis, Bacterial)"";MeSH:D012282 (Rickettsia Infections)"	UseClass:8104 (anti-bacterial)			
BRD-K08252256-236-05-6	BRD-K08252256	BRD-K08252256-236-05-6_BBBC022	Diclofenac sodium	Prestwick Chemical Inc.	DCOPUUMXTXDBNB-UHFFFAOYSA-N	CHEMBL139	yes				"MeSH:D001172 (Arthritis, Rheumatoid);MeSH:D007249 (Inflammation);MeSH:D010003 (Osteoarthritis)"	UseClass:8071 (anti-inflammatory)			
BRD-K08273968-001-05-9	BRD-K08273968	BRD-K08273968-001-05-9_BBBC022	Griseofulvin	Prestwick Chemical Inc.			yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal);UseClass:8065 (anti-proliferative)			
BRD-K08303368-001-02-7	BRD-K08303368	BRD-K08303368-001-02-7_BBBC022	CHLORPYRIFOS	MicroSource Discovery Systems Inc.	SBPBAQFWLVIOKP-UHFFFAOYSA-N	CHEMBL463210	yes					UseClass:8149 (insecticide)			
BRD-K08493205-001-02-3	BRD-K08493205	BRD-K08493205-001-02-3_BBBC022	SALICYL ALCOHOL	MicroSource Discovery Systems Inc.	CQRYARSYNCAZFO-UHFFFAOYSA-N	CHEMBL280802	yes					UseClass:8082 (anesthetic)			
BRD-K08556791-001-02-7	BRD-K08556791	BRD-K08556791-001-02-7_BBBC022	ETHOPROP	MicroSource Discovery Systems Inc.	VJYFKVYYMZPMAB-UHFFFAOYSA-N		yes					UseClass:8107 (anti-parasitic);UseClass:8149 (insecticide)			
BRD-K08832567-001-02-4	BRD-K08832567	BRD-K08832567-001-02-4_BBBC022	NARINGENIN	MicroSource Discovery Systems Inc.	FTVWIRXFELQLPI-ZDUSSCGKSA-N	CHEMBL9352	yes				MeSH:D010437 (Peptic Ulcer)	UseClass:8125 (gastrointestinal agent)			
BRD-K09416995-001-06-8	BRD-K09416995	BRD-K09416995-001-06-8_BBBC022	Mevinolin (lovastatin)	Biomol International Inc.	PCZOHLXUXFIOCF-BXMDZJJMSA-N	CHEMBL503	yes		GeneID:3156 (inhibits HMGCR)		MeSH:D006949 (Hyperlipidemias)	UseClass:8097 (anti-hyperlipidemic)			
BRD-K09778810-001-01-5	BRD-K09778810	BRD-K09778810-001-01-5_BBBC022	FGIN-1-27	Biomol International Inc.	VUWXAQFLTSBUDB-UHFFFAOYSA-N	CHEMBL63154	yes		GeneID:13167 (activates Dbi);GeneID:1622 (binds DBI)	GO:0006915 (activates apoptosis);GO:0006694 (activates steroid biosynthetic process);GO:0006350 (activates transcription);GO:0008503 (binds benzodiazepine receptor activity);GO:0042596 (inhibits fear response)					
BRD-K10065684-001-03-3	BRD-K10065684	BRD-K10065684-001-03-3_BBBC022	DANTRON	MicroSource Discovery Systems Inc.	QBPFLULOKWLNNW-UHFFFAOYSA-N	CHEMBL53418	yes				MeSH:D003248 (Constipation)	UseClass:8130 (laxative)			
BRD-K10171338-001-02-1	BRD-K10171338	BRD-K10171338-001-02-1_BBBC022	ACETYLTRYPTOPHANAMIDE	MicroSource Discovery Systems Inc.	HNGIZKAMDMBRKJ-LBPRGKRZSA-N	CHEMBL390937	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant);UseClass:8135 (nutritive agent)			
BRD-K10314788-003-04-4	BRD-K10314788	BRD-K10314788-003-04-4_BBBC022	Meclofenoxate hydrochloride	Prestwick Chemical Inc.	XZTYGFHCIAKPGJ-UHFFFAOYSA-N	CHEMBL64545	yes					UseClass:8113 (cns agent)			
BRD-K10671814-001-05-6	BRD-K10671814	BRD-K10671814-001-05-6_BBBC022	Sulfaphenazole	Prestwick Chemical Inc.	QWCJHSGMANYXCW-UHFFFAOYSA-N	CHEMBL1109	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K10995081-001-05-5	BRD-K10995081	BRD-K10995081-001-05-5_BBBC022	Perphenazine	Prestwick Chemical Inc.	RGCVKNLCSQQDEP-UHFFFAOYSA-N	CHEMBL567	yes					UseClass:8117 (tranquilizer)			
BRD-K11129031-001-05-1	BRD-K11129031	BRD-K11129031-001-05-1_BBBC022	Gemfibrozil	Prestwick Chemical Inc.	HEMJJKBWTPKOJG-UHFFFAOYSA-N	CHEMBL457	yes					UseClass:8096 (anti-lipemic);UseClass:8089 (cardiovascular agent)			
BRD-K11196887-001-05-5	BRD-K11196887	BRD-K11196887-001-05-5_BBBC022	Norfloxacin	Prestwick Chemical Inc.	OGJPXUAPXNRGGI-UHFFFAOYSA-N	CHEMBL9	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)			MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K11640013-001-02-6	BRD-K11640013	BRD-K11640013-001-02-6_BBBC022	SULFAMETHAZINE	MicroSource Discovery Systems Inc.	ASWVTGNCAZCNNR-UHFFFAOYSA-N	CHEMBL446	yes		GeneID:1719 (inhibits DHFR)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)			
BRD-K11640013-236-03-6	BRD-K11640013	BRD-K11640013-236-03-6_BBBC022	Sulfamethazine sodium salt	Prestwick Chemical Inc.	ASWVTGNCAZCNNR-UHFFFAOYSA-N	CHEMBL446	yes		GeneID:1719 (inhibits DHFR)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)			
BRD-K11742128-003-05-1	BRD-K11742128	BRD-K11742128-003-05-1_BBBC022	Triprolidine hydrochloride	Prestwick Chemical Inc.	CBEQULMOCCWAQT-WOJGMQOQSA-N	CHEMBL855	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)			
BRD-K11796549-001-01-1	BRD-K11796549	BRD-K11796549-001-01-1_BBBC022	"2,3-DIOXO-6-NITRO-1,2,3,4-TETRAHYDROBENZO[F]QUINOXALINE-7-SULFONAMIDE"	Biomol International Inc.	UQNAFPHGVPVTAL-UHFFFAOYSA-N	CHEMBL222519	yes			GO:0004970 (activates ionotropic glutamate receptor activity)					
BRD-K12219985-001-04-8	BRD-K12219985	BRD-K12219985-001-04-8_BBBC022	GLIPIZIDE	Biomol International Inc.	ZJJXGWJIGJFDTL-UHFFFAOYSA-N	CHEMBL1073	yes			GO:0005267 (inhibits potassium channel activity)	"MeSH:D003924 (Diabetes Mellitus, Type 2);MeSH:D008659 (Metabolic Diseases)"				
BRD-K12513978-001-05-0	BRD-K12513978	BRD-K12513978-001-05-0_BBBC022	Fenbufen	Prestwick Chemical Inc.	ZPAKPRAICRBAOD-UHFFFAOYSA-N	CHEMBL277522	yes			GO:0004955 (inhibits prostaglandin receptor activity)	MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-K12807006-001-05-2	BRD-K12807006	BRD-K12807006-001-05-2_BBBC022	Kaempferol	Prestwick Chemical Inc.	IYRMWMYZSQPJKC-UHFFFAOYSA-N	CHEMBL150	yes		GeneID:5742 (inhibits PTGS1);GeneID:7150 (inhibits TOP1)	GO:0006915 (inhibits apoptosis);GO:0006266 (inhibits DNA ligation);GO:0008131 (inhibits primary amine oxidase activity)					
BRD-K12968785-001-03-4	BRD-K12968785	BRD-K12968785-001-03-4_BBBC022	BERGAPTEN	MicroSource Discovery Systems Inc.	BGEBZHIAGXMEMV-UHFFFAOYSA-N	CHEMBL24171	yes				MeSH:D011565 (Psoriasis)	UseClass:8076 (anti-psoriatic)			
BRD-K12994359-001-02-8	BRD-K12994359	BRD-K12994359-001-02-8_BBBC022	VALDECOXIB	MicroSource Discovery Systems Inc.	LNPDTQAFDNKSHK-UHFFFAOYSA-N	CHEMBL865	yes		GeneID:5743 (affects PTGS2);GeneID:771 (inhibits CA12);GeneID:759 (inhibits CA1);GeneID:760 (inhibits CA2);GeneID:768 (inhibits CA9);GeneID:5742 (inhibits PTGS1);GeneID:29527 (inhibits Ptgs2);GeneID:5743 (inhibits PTGS2)	GO:0019369 (affects arachidonic acid metabolic process);GO:0019371 (affects cyclooxygenase pathway);GO:0006730 (inhibits one-carbon metabolic process);GO:0001516 (inhibits prostaglandin biosynthetic process)	"MeSH:D001172 (Arthritis, Rheumatoid);MeSH:D004412 (Dysmenorrhea);MeSH:D010003 (Osteoarthritis);""MeSH:D010149 (Pain, Postoperative)"""	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
