siRNA Primer	Gene Identifier	Gene Symbol	siRNA Hit	Phenotype 1	Term Source Accession 1	Ontology Term Name 1	Phenotype 2	Term Source Accession 2	Ontology Term Name 2	Phenotype 3	Term Source Accession 3	Ontology Term Name 3	Phenotype 4	Term Source Accession 4	Ontology Term Name 4	Phenotype 5	Term Source Accession 5	Ontology Term Name 5	Phenotype 6	Term Source Accession 6	Ontology Term Name 6	Phenotype 7	Term Source Accession 7	Ontology Term Name 7	Phenotype 8	Term Source Accession 8	Ontology Term Name 8	Phenotype 9	Term Source Accession 9	Ontology Term Name 9	Phenotype 10	Term Source Accession 10	Ontology Term Name 10	Phenotype 11	Term Source Accession 11	Ontology Term Name 11	Phenotype 12	Term Source Accession 12	Ontology Term Name 12	Phenotype 13	Term Source Accession 13	Ontology Term Name 13	Phenotype 14	Term Source Accession 14	Ontology Term Name 14	Phenotype 15	Term Source Accession 15	Ontology Term Name 15	Phenotype 16	Term Source Accession 16	Ontology Term Name 16	Phenotype 17	Term Source Accession 17	Ontology Term Name 17	Phenotype 18	Term Source Accession 18	Ontology Term Name 18	Phenotype 19	Term Source Accession 19	Ontology Term Name 19	Phenotype 20	Term Source Accession 20	Ontology Term Name 20	Phenotype 21	Term Source Accession 21	Ontology Term Name 21	Phenotype 22	Term Source Accession 22	Ontology Term Name 22	Phenotype 23	Term Source Accession 23	Ontology Term Name 23	Phenotype 24	Term Source Accession 24	Ontology Term Name 24	Phenotype 25	Term Source Accession 25	Ontology Term Name 25	Phenotype 26	Term Source Accession 26	Ontology Term Name 26
DRSC04630	FBgn0028411	Nxt1	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11868	FBgn0028427	Ilk	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype							cell shape round or non-adherent	CMPO_0000118	round cell																																																										decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC17741	FBgn0028474	CG4119	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																									increased cytoplasmic actin	CMPO_0000296	increased actin localised to the cytoplasm	decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass													microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																			loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC01893	FBgn0028538	sec71	yes																																																													increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC16842	FBgn0028684	Tbp-1	yes																																																																			no cells	CMPO_0000301	no cells phenotype									
DRSC18713	FBgn0028685	Rpt4	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype				cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07542	FBgn0028687	Rpt1	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype				cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16841	FBgn0028688	Rpn7	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07541	FBgn0028689	Rpn6	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC12367	FBgn0028690	Rpn5	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16840	FBgn0028691	Rpn9	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16839	FBgn0028692	Rpn2	yes																																																																			no cells	CMPO_0000301	no cells phenotype									
DRSC11275	FBgn0028693	Rpn12	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03422	FBgn0028694	Rpn11	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11274	FBgn0028695	Rpn1	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC20963	FBgn0028697	RpL15	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC06807	FBgn0028836	CSN7	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC06808	FBgn0028836	CSN7	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																			microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype																			decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC01952	FBgn0028868	CG4701	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype							cell shape round or non-adherent	CMPO_0000118	round cell																decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC01934	FBgn0028887	CG3491	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16955	FBgn0028968	gammaCop	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18760	FBgn0028969	deltaCOP	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC00804	FBgn0028970	betaggt-II	yes																						Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci	Asymmetric lamellae	CMPO_0000266	asymmetric lamellipodia phenotype										decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass										microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype																						loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC11295	FBgn0029117	Surf1	yes																												decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
DRSC07517	FBgn0029134	Prosbeta5	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC16659	FBgn0029176	Ef1gamma	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18427	FBgn0029629	CG8636	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18116	FBgn0029941	CG1677	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18159	FBgn0029971	CG18624	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
DRSC18111	FBgn0030030	CG1636	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18420	FBgn0030091	CG7065	yes																															Increased level of actin	CMPO_0000105	increased number of actin filament																																											multiple layers of cells	CMPO_0000282	layered cells in population
DRSC18419	FBgn0030093	dalao	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC18128	FBgn0030121	CG17446	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																									decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC19398	FBgn0030241	feo	yes				increased cell size	CMPO_0000128	increased cell size phenotype																																																							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC19786	FBgn0030365	Tango4	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC19863	FBgn0030384	CG2577	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																			microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype																			decreased cell number	CMPO_0000052	decreased cell numbers						
DRSC19385	FBgn0030400	CG11138	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC19877	FBgn0030425	CG3775	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC19713	FBgn0030474	CG15747	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC19734	FBgn0030552	mRpL38	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																															increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC19789	FBgn0030556	mRNA-capping-enzyme	yes																												decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
DRSC20149	FBgn0030616	RpL37a	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC20165	FBgn0030719	eIF5	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC20207	FBgn0030765	SmG	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC20132	FBgn0030812	CG8949	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC20094	FBgn0030858	CG8211	yes																															Increased level of actin	CMPO_0000105	increased number of actin filament																microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype																									multiple layers of cells	CMPO_0000282	layered cells in population
DRSC19573	FBgn0031030	Tao-1	yes																																																	microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype	microtubule processes	CMPO_0000351	increased microtubule-based processes phenotype																						multiple layers of cells	CMPO_0000282	layered cells in population
DRSC20513	FBgn0031100	CG1504	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC20576	FBgn0031114	cactin	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC00605	FBgn0031229	CG3436	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																											microtubule clumps	CMPO_0000286	aggregated microtubules phenotype										increased level of microtubules	CMPO_0000097	increased number of microtubules																		
DRSC00621	FBgn0031245	CG3625	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC00535	FBgn0031266	CG2807	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																									decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC00692	FBgn0031399	mio	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																Asymmetric lamellae	CMPO_0000266	asymmetric lamellipodia phenotype										decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass										microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype																											
DRSC00693	FBgn0031401	CG7082	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC00612	FBgn0031492	CG3542	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																																		increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus				microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype																											
DRSC00619	FBgn0031493	CG3605	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																									decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC00582	FBgn0031540	CG3238	yes																						Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci																									microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype																											
DRSC00430	FBgn0031549	Spindly	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC00563	FBgn0031601	Dim1	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																									decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC00453	FBgn0031606	CG15439	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC00465	FBgn0031627	CG15630	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC02363	FBgn0031668	CG31917	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03040	FBgn0031713	CG7277	yes																									Asymmetric lamellae	CMPO_0000266	asymmetric lamellipodia phenotype										decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass																																							
DRSC03037	FBgn0031730	CG7236	yes				increased cell size	CMPO_0000128	increased cell size phenotype																																																							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC03261	FBgn0031822	CG9548	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC02680	FBgn0031962	CG18591	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03055	FBgn0031980	RpL36A	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03080	FBgn0032006	Pvr	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																																																											
DRSC02854	FBgn0032215	CG5385	yes																												decreased level of actin	CMPO_0000106	decreased number of actin filament																																																
DRSC02236	FBgn0032230	CG13139	yes																									Asymmetric lamellae	CMPO_0000266	asymmetric lamellipodia phenotype										decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass																																							
DRSC02979	FBgn0032388	CG6686	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03193	FBgn0032511	CG9306	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																																																											
DRSC03191	FBgn0032514	CG9302	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03188	FBgn0032516	CG9293	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03185	FBgn0032518	RpL24	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC02603	FBgn0032596	CG17331	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC02019	FBgn0032680	Ntf-2r	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC02092	FBgn0032725	Nedd8	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																						Increased level of actin	CMPO_0000105	increased number of actin filament																microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype																											
DRSC02014	FBgn0032800	CG10137	yes																																					decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass																																							
DRSC02708	FBgn0032863	cdc23	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC02711	FBgn0032873	CG2614	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																			microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype																			decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03201	FBgn0032884	Pomp	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype							cell shape round or non-adherent	CMPO_0000118	round cell																decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC03704	FBgn0032987	RpL21	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC04893	FBgn0033062	CG7843	yes																						Increased number of actin puncta or dots	CMPO_0000291	increased amount of punctate actin foci													decreased peripheral actin	CMPO_0000273	decreased cortical actin cytoskeleton mass																																		loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC04984	FBgn0033081	geminin	yes				increased cell size	CMPO_0000128	increased cell size phenotype																																																							increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC06755	FBgn0033155	CG1845	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC06405	FBgn0033196	CG1358	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC06445	FBgn0033210	U2A	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament													increased nuclear actin	CMPO_0000294	increased actin localised to the nucleus																									decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07249	FBgn0033246	CG11198	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07248	FBgn0033247	Nup44A	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																																																											
DRSC07243	FBgn0033260	cul-4	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																			microtubules disorganised	CMPO_0000147	disorganized microtubules phenotype																			decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07130	FBgn0033342	CG8258	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC07109	FBgn0033359	CG8213	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype							cell shape round or non-adherent	CMPO_0000118	round cell																																																										decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC06811	FBgn0033400	CG2063	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07029	FBgn0033570	CG7712	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																																																										increased number of multinucleate cells	CMPO_0000300	more multinucleate cells															
DRSC06100	FBgn0033571	Rpb5	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype				cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07293	FBgn0033688	Prp8	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07262	FBgn0033764	CG8776	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype							cell shape round or non-adherent	CMPO_0000118	round cell																decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC06967	FBgn0033859	CG6197	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07142	FBgn0033902	Tango7	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC07169	FBgn0033912	RpS23	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC05979	FBgn0033970	CG10205	yes	decreased cell size	CMPO_0000129	decreased cell size phenoptype																									decreased level of actin	CMPO_0000106	decreased number of actin filament																microtubule clumps	CMPO_0000286	aggregated microtubules phenotype																														
DRSC07077	FBgn0033998	row	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC07151	FBgn0034138	RpS15	yes							cell shape variable	CMPO_0000270	increased variability of cell shape in population																			decreased level of actin	CMPO_0000106	decreased number of actin filament																																								decreased cell number	CMPO_0000052	decreased cell numbers	loss of cell monolayer	CMPO_0000293	loss of cell monolayer			
DRSC06987	FBgn0034165	CG6435	yes																																																							decreased level of microtubules	CMPO_0000068	decreased number of microtubules																					
