Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2
BRD-A92439610-001-02-4	BRD-A92439610	TRIAMCINOLONE ACETONIDE	MicroSource Discovery Systems Inc.	yes			GO:0008219 (activates cell death)	"MeSH:D001249 (Asthma);MeSH:D001528 (Behcet Syndrome);MeSH:D003930 (Diabetic Retinopathy);MeSH:D008269 (Macular Edema);""MeSH:D009879 (Ophthalmia, Sympathetic)"";MeSH:D012170 (Retinal Vein Occlusion)"						
BRD-A92537424-001-02-1	BRD-A92537424	DANAZOL	MicroSource Discovery Systems Inc.	yes				MeSH:D004715 (Endometriosis);MeSH:D008595 (Menorrhagia);MeSH:D011293 (Premenstrual Syndrome)						
BRD-A93000692-001-02-4	BRD-A93000692	CIGLITAZONE	Biomol International Inc.	yes		GeneID:5468 (activates PPARG)		MeSH:D001161 (Arteriosclerosis);MeSH:D044882 (Glucose Metabolism Disorders)	UseClass:8089 (cardiovascular agent)					
BRD-A94624445-236-02-2	BRD-A94624445	dibutyrylcyclic AMP	Biomol International Inc.	yes			GO:0004691 (activates cAMP-dependent protein kinase activity)							
BRD-A95207036-001-02-8	BRD-A95207036	CYPROTERONE ACETATE	MicroSource Discovery Systems Inc.	yes		GeneID:367 (inhibits AR)			UseClass:8144 (hormone antagonist)					
BRD-A95869247-001-04-6	BRD-A95869247	Indapamide	Prestwick Chemical Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)					
BRD-A96897502-001-02-0	BRD-A96897502	U-74389G	Biomol International Inc.	yes					UseClass:8137 (anti-oxidant)					
BRD-A97104540-004-04-4	BRD-A97104540	Fenoterol hydrobromide	Prestwick Chemical Inc.	yes		GeneID:154 (activates ADRB2)	GO:0004939 (activates beta-adrenergic receptor activity)		UseClass:8088 (bronchodilator)					
BRD-A97437073-001-02-3	BRD-A97437073	ROSIGLITAZONE	MicroSource Discovery Systems Inc.	yes		GeneID:19016 (activates Pparg);GeneID:5468 (activates PPARG)	GO:0045444 (activates fat cell differentiation);GO:0046323 (activates glucose import);GO:0070541 (affects response to platinum ion)	"MeSH:D003924 (Diabetes Mellitus, Type 2);MeSH:D005234 (Fatty Liver);MeSH:D011085 (Polycystic Ovary Syndrome)"						
BRD-A97479839-003-05-9	BRD-A97479839	Piperidolate hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D010146 (Pain)	UseClass:8081 (analgesic)					
BRD-A97701745-001-05-3	BRD-A97701745	Pindolol	Prestwick Chemical Inc.	yes		GeneID:154 (inhibits ADRB2);GeneID:155 (inhibits ADRB3)	GO:0004939 (inhibits beta-adrenergic receptor activity)		UseClass:8092 (vasodilator)					
BRD-A97739905-001-05-9	BRD-A97739905	Ketoprofen	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)					
BRD-A98299281-050-04-7	BRD-A98299281	"Hydroxytacrine maleate (R,S)"	Prestwick Chemical Inc.	yes			GO:0004104 (inhibits cholinesterase activity)	MeSH:D010300 (Parkinson Disease)						
BRD-A99402294-236-02-0	BRD-A99402294	NAFCILLIN SODIUM	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-A99633051-001-04-7	BRD-A99633051	Ethosuximide	Prestwick Chemical Inc.	yes				"MeSH:D004832 (Epilepsy, Absence);MeSH:D012640 (Seizures)"	UseClass:8121 (anti-convulsant)					
BRD-K00184207-001-02-4	BRD-K00184207	"6-FORMYLINDOLO [3,2-B] CARBAZOLE"	Biomol International Inc.	yes		GeneID:1543 (activates CYP1A1)								
BRD-K00938507-001-05-3	BRD-K00938507	Sulfamethoxypyridazine	Prestwick Chemical Inc.	yes		GeneID:1719 (inhibits DHFR)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)					
BRD-K01244426-236-05-5	BRD-K01244426	Cloxacillin sodium salt	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K01473791-001-02-2	BRD-K01473791	"2,4-DICHLOROPHENOXYACETIC ACID"	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide)					
BRD-K01815685-001-02-3	BRD-K01815685	INDOLE-3-CARBINOL	MicroSource Discovery Systems Inc.	yes		GeneID:1021 (affects CDK6)	GO:0007050 (activates cell cycle arrest);GO:0007049 (affects cell cycle)		UseClass:8137 (anti-oxidant)					
BRD-K01824921-001-02-9	BRD-K01824921	"1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]"	MicroSource Discovery Systems Inc.	yes		GeneID:134 (inhibits ADORA1)								
BRD-K01902415-001-02-6	BRD-K01902415	WY-14643	Biomol International Inc.	yes		GeneID:5465 (activates PPARA)		MeSH:D001161 (Arteriosclerosis)	UseClass:8089 (cardiovascular agent)					
BRD-K01950558-001-05-5	BRD-K01950558	Succinylsulfathiazole	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K02265150-001-05-9	BRD-K02265150	Amoxapine	Prestwick Chemical Inc.	yes			GO:0001504 (inhibits neurotransmitter uptake)	MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant);UseClass:8072 (anti-histamine)					
BRD-K02404261-001-03-5	BRD-K02404261	CAFFEINE	MicroSource Discovery Systems Inc.	yes			"GO:0001609 (inhibits adenosine receptor activity, G-protein coupled)"		UseClass:8100 (cardiac stimulant);UseClass:8113 (cns agent)					
BRD-K02548315-001-02-7	BRD-K02548315	ALACHLOR	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide)					
BRD-K02837237-001-02-9	BRD-K02837237	"S,S,S,-TRIBUTYLPHOSPHOROTRITHIOATE"	MicroSource Discovery Systems Inc.	yes					UseClass:8146 (herbicide);UseClass:8149 (insecticide)					
BRD-K02867583-300-05-5	BRD-K02867583	Minaprine dihydrochloride	Prestwick Chemical Inc.	yes	CBPROTID:1000385 (inhibits 5-hydroxytryptamine 2 receptor)		GO:0015872 (affects dopamine transport)		UseClass:8114 (neuroprotective agent);UseClass:8120 (psychotropic agent)					
BRD-K02953697-002-03-3	BRD-K02953697	Naringin hydrate	Prestwick Chemical Inc.	yes				MeSH:D006470 (Hemorrhage)	UseClass:8101 (anti-hemorrhagic)					
BRD-K02965577-001-02-6	BRD-K02965577	"24,25-DIHYDROXYVITAMIN D3"	Biomol International Inc.	yes			GO:0005262 (inhibits calcium channel activity);GO:0006816 (inhibits calcium ion transport)							
BRD-K04010869-001-02-6	BRD-K04010869	PROSTAGLANDIN A1	Biomol International Inc.	yes				MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)					
BRD-K04430056-001-02-9	BRD-K04430056	7-NITROINDAZOLE	MicroSource Discovery Systems Inc.	yes		GeneID:4842 (inhibits NOS1)	GO:0004517 (inhibits nitric-oxide synthase activity)							
BRD-K04804440-311-02-3	BRD-K04804440	Ciprofloxacin hydrochloride	Prestwick Chemical Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)	GeneID:1544 (inhibits CYP1A2)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)					
BRD-K04877770-001-03-4	BRD-K04877770	B581	Biomol International Inc.	yes		GeneID:2224 (inhibits FDPS)								
BRD-K05236810-001-05-9	BRD-K05236810	Luteolin	Prestwick Chemical Inc.	yes		GeneID:7150 (inhibits TOP1)								
BRD-K05395900-322-02-1	BRD-K05395900	NICOTINE DITARTRATE	MicroSource Discovery Systems Inc.	yes	CBPROTID:1000306 (activates Nicotinic acetylcholine receptor)	GeneID:1139 (activates CHRNA7)		MeSH:D013375 (Substance Withdrawal Syndrome)						
BRD-K05434375-001-04-0	BRD-K05434375	HA-1004	Biomol International Inc.	yes			GO:0016301 (inhibits kinase activity)							
BRD-K05528470-001-01-9	BRD-K05528470	"L-745,870"	Biomol International Inc.	yes		GeneID:1815 (inhibits DRD4)								
BRD-K05653692-001-02-5	BRD-K05653692	DL-PDMP	Biomol International Inc.	yes				MeSH:D009362 (Neoplasm Metastasis)	UseClass:8066 (anti-neoplastic);UseClass:8065 (anti-proliferative)					
BRD-K05673000-323-02-8	BRD-K05673000	Dicloxacillin sodium salt	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K05977355-001-02-6	BRD-K05977355	FLUCONAZOLE	MicroSource Discovery Systems Inc.	yes				"MeSH:D000163 (Acquired Immunodeficiency Syndrome);""MeSH:D002181 (Candidiasis, Vulvovaginal)"";MeSH:D009181 (Mycoses)"	UseClass:8105 (anti-fungal)					
BRD-K06181161-048-04-5	BRD-K06181161	Carbetapentane citrate	Prestwick Chemical Inc.	yes				MeSH:D003371 (Cough)	UseClass:8085 (anti-tussive)					
BRD-K06208435-001-02-9	BRD-K06208435	YS035	Biomol International Inc.	yes			GO:0005262 (inhibits calcium channel activity)							
BRD-K06467078-003-03-7	BRD-K06467078	Corynanthine hydrochloride	Prestwick Chemical Inc.	yes			GO:0004937 (inhibits alpha1-adrenergic receptor activity)							
BRD-K06854232-001-02-5	BRD-K06854232	AM-580	Biomol International Inc.	yes		GeneID:5914 (activates RARA);GeneID:5915 (activates RARB);GeneID:5916 (activates RARG)								
BRD-K06902185-001-05-2	BRD-K06902185	MINOXIDIL	Biomol International Inc.	yes	CBPROTID:1000252 (activates Soluble guanylate cyclase)	GeneID:5351 (inhibits PLOD1)	GO:0005267 (activates potassium channel activity)	MeSH:D000505 (Alopecia);MeSH:D006973 (Hypertension)	UseClass:8091 (anti-hypertensive)					
BRD-K07208025-001-06-5	BRD-K07208025	Trimethoprim	Prestwick Chemical Inc.	yes		GeneID:1719 (inhibits DHFR)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K07220430-001-03-6	BRD-K07220430	Cinnarizine	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)								
BRD-K07572174-001-02-2	BRD-K07572174	CURCUMIN	MicroSource Discovery Systems Inc.	yes				MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)					
BRD-K08033334-003-02-7	BRD-K08033334	LINCOMYCIN HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D007239 (Infection)	UseClass:8103 (anti-infective agent)					
BRD-K08111712-001-02-7	BRD-K08111712	Chloramphenicol	Prestwick Chemical Inc.	yes				"MeSH:D001424 (Bacterial Infections);""MeSH:D016920 (Meningitis, Bacterial)"";MeSH:D012282 (Rickettsia Infections)"	UseClass:8104 (anti-bacterial)					
BRD-K08252256-236-05-6	BRD-K08252256	Diclofenac sodium	Prestwick Chemical Inc.	yes				"MeSH:D001172 (Arthritis, Rheumatoid);MeSH:D007249 (Inflammation);MeSH:D010003 (Osteoarthritis)"	UseClass:8071 (anti-inflammatory)					
BRD-K08273968-001-05-9	BRD-K08273968	Griseofulvin	Prestwick Chemical Inc.	yes				MeSH:D009181 (Mycoses)	UseClass:8105 (anti-fungal);UseClass:8065 (anti-proliferative)					
BRD-K08303368-001-02-7	BRD-K08303368	CHLORPYRIFOS	MicroSource Discovery Systems Inc.	yes					UseClass:8149 (insecticide)					
BRD-K08493205-001-02-3	BRD-K08493205	SALICYL ALCOHOL	MicroSource Discovery Systems Inc.	yes					UseClass:8082 (anesthetic)					
BRD-K08556791-001-02-7	BRD-K08556791	ETHOPROP	MicroSource Discovery Systems Inc.	yes					UseClass:8107 (anti-parasitic);UseClass:8149 (insecticide)					
BRD-K08832567-001-02-4	BRD-K08832567	NARINGENIN	MicroSource Discovery Systems Inc.	yes				MeSH:D010437 (Peptic Ulcer)	UseClass:8125 (gastrointestinal agent)					
BRD-K09416995-001-06-8	BRD-K09416995	Mevinolin (lovastatin)	Biomol International Inc.	yes		GeneID:3156 (inhibits HMGCR)		MeSH:D006949 (Hyperlipidemias)	UseClass:8097 (anti-hyperlipidemic)					
BRD-K09778810-001-01-5	BRD-K09778810	FGIN-1-27	Biomol International Inc.	yes		GeneID:13167 (activates Dbi);GeneID:1622 (binds DBI)	GO:0006915 (activates apoptosis);GO:0006694 (activates steroid biosynthetic process);GO:0006350 (activates transcription);GO:0008503 (binds benzodiazepine receptor activity);GO:0042596 (inhibits fear response)							
BRD-K10065684-001-03-3	BRD-K10065684	DANTRON	MicroSource Discovery Systems Inc.	yes				MeSH:D003248 (Constipation)	UseClass:8130 (laxative)					
BRD-K10171338-001-02-1	BRD-K10171338	ACETYLTRYPTOPHANAMIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant);UseClass:8135 (nutritive agent)					
BRD-K10314788-003-04-4	BRD-K10314788	Meclofenoxate hydrochloride	Prestwick Chemical Inc.	yes					UseClass:8113 (cns agent)					
BRD-K10671814-001-05-6	BRD-K10671814	Sulfaphenazole	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K10995081-001-05-5	BRD-K10995081	Perphenazine	Prestwick Chemical Inc.	yes					UseClass:8117 (tranquilizer)					
BRD-K11129031-001-05-1	BRD-K11129031	Gemfibrozil	Prestwick Chemical Inc.	yes					UseClass:8096 (anti-lipemic);UseClass:8089 (cardiovascular agent)					
BRD-K11196887-001-05-5	BRD-K11196887	Norfloxacin	Prestwick Chemical Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)			MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)					
BRD-K11640013-001-02-6	BRD-K11640013	SULFAMETHAZINE	MicroSource Discovery Systems Inc.	yes		GeneID:1719 (inhibits DHFR)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)					
BRD-K11640013-236-03-6	BRD-K11640013	Sulfamethazine sodium salt	Prestwick Chemical Inc.	yes		GeneID:1719 (inhibits DHFR)		MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8111 (antiseptic)					
BRD-K11742128-003-05-1	BRD-K11742128	Triprolidine hydrochloride	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine)					
BRD-K11796549-001-01-1	BRD-K11796549	"2,3-DIOXO-6-NITRO-1,2,3,4-TETRAHYDROBENZO[F]QUINOXALINE-7-SULFONAMIDE"	Biomol International Inc.	yes			GO:0004970 (activates ionotropic glutamate receptor activity)							
BRD-K12219985-001-04-8	BRD-K12219985	GLIPIZIDE	Biomol International Inc.	yes			GO:0005267 (inhibits potassium channel activity)	"MeSH:D003924 (Diabetes Mellitus, Type 2);MeSH:D008659 (Metabolic Diseases)"						
BRD-K12513978-001-05-0	BRD-K12513978	Fenbufen	Prestwick Chemical Inc.	yes			GO:0004955 (inhibits prostaglandin receptor activity)	MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)					
BRD-K12807006-001-05-2	BRD-K12807006	Kaempferol	Prestwick Chemical Inc.	yes		GeneID:5742 (inhibits PTGS1);GeneID:7150 (inhibits TOP1)	GO:0006915 (inhibits apoptosis);GO:0006266 (inhibits DNA ligation);GO:0008131 (inhibits primary amine oxidase activity)							
BRD-K12968785-001-03-4	BRD-K12968785	BERGAPTEN	MicroSource Discovery Systems Inc.	yes				MeSH:D011565 (Psoriasis)	UseClass:8076 (anti-psoriatic)					
BRD-K12994359-001-02-8	BRD-K12994359	VALDECOXIB	MicroSource Discovery Systems Inc.	yes		GeneID:5743 (affects PTGS2);GeneID:771 (inhibits CA12);GeneID:759 (inhibits CA1);GeneID:760 (inhibits CA2);GeneID:768 (inhibits CA9);GeneID:5742 (inhibits PTGS1);GeneID:29527 (inhibits Ptgs2);GeneID:5743 (inhibits PTGS2)	GO:0019369 (affects arachidonic acid metabolic process);GO:0019371 (affects cyclooxygenase pathway);GO:0006730 (inhibits one-carbon metabolic process);GO:0001516 (inhibits prostaglandin biosynthetic process)	"MeSH:D001172 (Arthritis, Rheumatoid);MeSH:D004412 (Dysmenorrhea);MeSH:D010003 (Osteoarthritis);""MeSH:D010149 (Pain, Postoperative)"""	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)					
BRD-K14704277-001-05-1	BRD-K14704277	Cinoxacin	Prestwick Chemical Inc.	yes	CBPROTID:1000515 (inhibits DNA topoisomerase)				UseClass:8111 (antiseptic)					
BRD-K14705039-001-05-7	BRD-K14705039	Sulfathiazole	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections);MeSH:D013203 (Staphylococcal Infections)	UseClass:8104 (anti-bacterial)					
BRD-K14756138-003-02-3	BRD-K14756138	HARMALOL HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8113 (cns agent)					
BRD-K14756138-310-03-0	BRD-K14756138	Harmalol hydrochloride dihydrate	Prestwick Chemical Inc.	yes					UseClass:8113 (cns agent)					
BRD-K14796088-003-06-0	BRD-K14796088	Berberine chloride	Prestwick Chemical Inc.	yes			GO:0004938 (activates alpha2-adrenergic receptor activity);GO:0004104 (inhibits cholinesterase activity)	"MeSH:D001145 (Arrhythmias, Cardiac)"	UseClass:8090 (anti-arrhythmic)					
BRD-K15563106-001-02-4	BRD-K15563106	PHLORETIN	MicroSource Discovery Systems Inc.	yes			GO:0005355 (inhibits glucose transmembrane transporter activity);GO:0004697 (inhibits protein kinase C activity)							
BRD-K15567136-003-06-6	BRD-K15567136	Papaverine hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D000787 (Angina Pectoris);MeSH:D001249 (Asthma);MeSH:D014777 (Virus Diseases)	UseClass:8095 (anti-anginal);UseClass:8078 (anti-asthmatic);UseClass:8106 (anti-viral);UseClass:8133 (smooth muscle relaxant);UseClass:8092 (vasodilator)					
BRD-K15933101-003-01-2	BRD-K15933101	Ropinirole HCl	Biomol International Inc.	yes		GeneID:1813 (activates DRD2);GeneID:1814 (activates DRD3);GeneID:1815 (activates DRD4)		MeSH:D010300 (Parkinson Disease)	UseClass:8113 (cns agent)					
BRD-K16195444-001-01-7	BRD-K16195444	OXYMETAZOLINE	Biomol International Inc.	yes		GeneID:150 (activates ADRA2A)			UseClass:8084 (decongestant);UseClass:8094 (vasoconstrictor)					
BRD-K16508793-001-01-8	BRD-K16508793	DIAZEPAM	MicroSource Discovery Systems Inc.	yes		GeneID:2555 (activates GABRA2);GeneID:2556 (activates GABRA3)	GO:0008503 (activates benzodiazepine receptor activity)		UseClass:8116 (sedative);UseClass:8117 (tranquilizer)					
BRD-K16542329-001-05-1	BRD-K16542329	zaprinast	Biomol International Inc.	yes	CBPROTID:1000343 (inhibits Phosphodiesterase)			MeSH:D001249 (Asthma);MeSH:D006967 (Hypersensitivity)	UseClass:8077 (anti-allergy);UseClass:8078 (anti-asthmatic)					
BRD-K16652251-001-02-7	BRD-K16652251	ACETOCHLOR	MicroSource Discovery Systems Inc.	yes					UseClass:8065 (anti-proliferative);UseClass:8146 (herbicide)					
BRD-K17223896-001-02-7	BRD-K17223896	CHLOROXYLENOL	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections);MeSH:D009181 (Mycoses)	UseClass:8104 (anti-bacterial);UseClass:8105 (anti-fungal)					
BRD-K17565903-066-05-8	BRD-K17565903	Pridinol methanesulfonate salt	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D010300 (Parkinson Disease);MeSH:D013035 (Spasm)	UseClass:8071 (anti-inflammatory);UseClass:8132 (muscle relaxant (spasmolytic))					
BRD-K17850764-001-02-6	BRD-K17850764	CLOPROSTENOL	Biomol International Inc.	yes		GeneID:5737 (activates PTGFR)								
BRD-K18059238-001-02-1	BRD-K18059238	GAMMA-LINOLENIC ACID (18:3 n-6)	Biomol International Inc.	yes				MeSH:D008113 (Liver Neoplasms);MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)					
BRD-K18922609-004-04-1	BRD-K18922609	Neostigmine bromide	Prestwick Chemical Inc.	yes			GO:0004104 (inhibits cholinesterase activity)	MeSH:D009157 (Myasthenia Gravis)	UseClass:8131 (muscular agent)					
BRD-K19111024-001-05-0	BRD-K19111024	Clofibric acid	Prestwick Chemical Inc.	yes				MeSH:D006949 (Hyperlipidemias)	UseClass:8097 (anti-hyperlipidemic)					
BRD-K19227686-001-02-0	BRD-K19227686	PHENOLPHTHALEIN	MicroSource Discovery Systems Inc.	yes				MeSH:D003248 (Constipation)	UseClass:8130 (laxative)					
BRD-K19295594-001-06-9	BRD-K19295594	Gossypol	Prestwick Chemical Inc.	yes		GeneID:595 (affects CCND1);GeneID:3308 (affects HSPA4);GeneID:3315 (affects HSPB1);GeneID:3689 (affects ITGB2);GeneID:7040 (affects TGFB1);GeneID:596 (binds BCL2);GeneID:598 (binds BCL2L1);GeneID:2938 (inhibits GSTA1);GeneID:2950 (inhibits GSTP1);GeneID:25116 (inhibits Hsd11b1);GeneID:3291 (inhibits HSD11B2);GeneID:3948 (inhibits LDHC)	GO:0006915 (activates apoptosis);GO:0000422 (activates mitochondrion degradation);GO:0042554 (activates superoxide anion generation);GO:0006915 (affects apoptosis);GO:0046034 (affects ATP metabolic process);GO:0055074 (affects calcium ion homeostasis);GO:0008219 (affects cell death);GO:0008283 (affects cell proliferation);GO:0006096 (affects glycolysis);GO:0004457 (affects lactate dehydrogenase activity);GO:0008584 (affects male gonad development);GO:0016071 (affects mRNA metabolic process);GO:0006119 (affects oxidative phosphorylation);GO:0004689 (affects phosphorylase kinase activity);GO:0043114 (affects regulation of vascular permeability);GO:0055078 (affects sodium ion homeostasis);GO:0006754 (inhibits ATP biosynthetic process);GO:0046034 (inhibits ATP metabolic process);GO:0016049 (inhibits cell growth);GO:0008283 (inhibits cell proliferation);GO:0071897 (inhibits DNA biosynthetic process);GO:0006001 (inhibits fructose catabolic process);GO:0040007 (inhibits growth);GO:0006954 (inhibits inflammatory response);GO:0034440 (inhibits lipid oxidation);GO:0005746 (inhibits mitochondrial respiratory chain);GO:0004697 (inhibits protein kinase C activity);GO:0030317 (inhibits sperm motility);GO:0007283 (inhibits spermatogenesis);GO:0061370 (inhibits testosterone biosynthetic process);GO:0006412 (inhibits translation);GO:0019058 (inhibits viral infectious cycle)	"MeSH:C535575 (Carcinoma, squamous cell of head and neck);MeSH:D009369 (Neoplasms)"	UseClass:8142 (contraceptive)					
BRD-K19295594-015-02-8	BRD-K19295594	GOSSYPOL-ACETIC ACID COMPLEX	MicroSource Discovery Systems Inc.	yes		GeneID:595 (affects CCND1);GeneID:3308 (affects HSPA4);GeneID:3315 (affects HSPB1);GeneID:3689 (affects ITGB2);GeneID:7040 (affects TGFB1);GeneID:596 (binds BCL2);GeneID:598 (binds BCL2L1);GeneID:2938 (inhibits GSTA1);GeneID:2950 (inhibits GSTP1);GeneID:25116 (inhibits Hsd11b1);GeneID:3291 (inhibits HSD11B2);GeneID:3948 (inhibits LDHC)	GO:0006915 (activates apoptosis);GO:0000422 (activates mitochondrion degradation);GO:0042554 (activates superoxide anion generation);GO:0006915 (affects apoptosis);GO:0046034 (affects ATP metabolic process);GO:0055074 (affects calcium ion homeostasis);GO:0008219 (affects cell death);GO:0008283 (affects cell proliferation);GO:0006096 (affects glycolysis);GO:0004457 (affects lactate dehydrogenase activity);GO:0008584 (affects male gonad development);GO:0016071 (affects mRNA metabolic process);GO:0006119 (affects oxidative phosphorylation);GO:0004689 (affects phosphorylase kinase activity);GO:0043114 (affects regulation of vascular permeability);GO:0055078 (affects sodium ion homeostasis);GO:0006754 (inhibits ATP biosynthetic process);GO:0046034 (inhibits ATP metabolic process);GO:0016049 (inhibits cell growth);GO:0008283 (inhibits cell proliferation);GO:0071897 (inhibits DNA biosynthetic process);GO:0006001 (inhibits fructose catabolic process);GO:0040007 (inhibits growth);GO:0006954 (inhibits inflammatory response);GO:0034440 (inhibits lipid oxidation);GO:0005746 (inhibits mitochondrial respiratory chain);GO:0004697 (inhibits protein kinase C activity);GO:0030317 (inhibits sperm motility);GO:0007283 (inhibits spermatogenesis);GO:0061370 (inhibits testosterone biosynthetic process);GO:0006412 (inhibits translation);GO:0019058 (inhibits viral infectious cycle)	"MeSH:C535575 (Carcinoma, squamous cell of head and neck);MeSH:D009369 (Neoplasms)"	UseClass:8142 (contraceptive)					
BRD-K19352500-070-02-5	BRD-K19352500	PROCHLORPERAZINE EDISYLATE	MicroSource Discovery Systems Inc.	yes			GO:0004952 (inhibits dopamine receptor activity);GO:0006611 (inhibits protein export from nucleus)	MeSH:D009369 (Neoplasms);MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic);UseClass:8066 (anti-neoplastic);UseClass:8117 (tranquilizer)					
BRD-K19352500-332-03-7	BRD-K19352500	Prochlorperazine dimaleate	Prestwick Chemical Inc.	yes			GO:0004952 (inhibits dopamine receptor activity);GO:0006611 (inhibits protein export from nucleus)	MeSH:D009369 (Neoplasms);MeSH:D014839 (Vomiting)	UseClass:8127 (anti-emetic);UseClass:8066 (anti-neoplastic);UseClass:8117 (tranquilizer)					
BRD-K20655524-003-04-7	BRD-K20655524	Mefexamide hydrochloride	Prestwick Chemical Inc.	yes				MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)					
BRD-K21283037-001-02-5	BRD-K21283037	RILUZOLE	Biomol International Inc.	yes			GO:0016917 (inhibits GABA receptor activity);GO:0001504 (inhibits neurotransmitter uptake);GO:0005248 (inhibits voltage-gated sodium channel activity)	MeSH:D001008 (Anxiety Disorders);MeSH:D007511 (Ischemia);MeSH:D012640 (Seizures)	UseClass:8082 (anesthetic);UseClass:8123 (anti-anxiety);UseClass:8121 (anti-convulsant);UseClass:8099 (anti-ischemic);UseClass:8115 (hypnotic);UseClass:8120 (psychotropic agent)					
BRD-K21283037-003-03-9	BRD-K21283037	Riluzole hydrochloride	Prestwick Chemical Inc.	yes			GO:0016917 (inhibits GABA receptor activity);GO:0001504 (inhibits neurotransmitter uptake);GO:0005248 (inhibits voltage-gated sodium channel activity)	MeSH:D001008 (Anxiety Disorders);MeSH:D007511 (Ischemia);MeSH:D012640 (Seizures)	UseClass:8082 (anesthetic);UseClass:8123 (anti-anxiety);UseClass:8121 (anti-convulsant);UseClass:8099 (anti-ischemic);UseClass:8115 (hypnotic);UseClass:8120 (psychotropic agent)					
BRD-K21350491-001-02-1	BRD-K21350491	PHENAMIL	Biomol International Inc.	yes			GO:0015280 (inhibits ligand-gated sodium channel activity)							
BRD-K21565985-001-05-0	BRD-K21565985	Xylazine	Prestwick Chemical Inc.	yes			GO:0004938 (activates alpha2-adrenergic receptor activity)	MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8132 (muscle relaxant (spasmolytic));UseClass:8116 (sedative)					
BRD-K21733600-001-02-6	BRD-K21733600	ROFECOXIB	MicroSource Discovery Systems Inc.	yes		GeneID:5743 (inhibits PTGS2)		MeSH:D004412 (Dysmenorrhea);MeSH:D007249 (Inflammation);MeSH:D010003 (Osteoarthritis);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)					
BRD-K21893543-001-02-8	BRD-K21893543	AZINPHOS METHYL	MicroSource Discovery Systems Inc.	yes					UseClass:8149 (insecticide)					
