Plate	Well	Plate_Well	Gene Identifier	Gene Symbol	Regulatory Hub	Nearest Human Homologue	Gene Name	Gene Model Status	Gene Symbol Synonyms	Severity of Adhesion Defect in Primary Screen	Severity of Adhesion Defect in Secondary Screen	Severity of Adhesion Defect in Secondary Screen (average of both repeats)	Has Phenotype	Phenotype Annotation Level	Phenotype 1
Secondary_004a	D3	Secondary_004a_D3	CG7777	CG7777	N/A	AQP1	CG7777	Current	Aqp7777	1.67	1	1			
Secondary_004a	D4	Secondary_004a_D4	CG7830	Ostgamma	Metabolism-related pathways	TUSC3	Oligosaccharide transferase gamma subunit	Current	CG7830	1.67	2.33	2	yes	gene	defective cell-cell aggregation
Secondary_004a	D5	Secondary_004a_D5	CG7814	CG34133	N/A	WDR44	CG34133	Current	CG31035 CG7814 anon-WO0118547.417	1.67	1	1			
Secondary_004a	D6	Secondary_004a_D6	CG7838	BubR1	Nuclear-associated pathways	BUB1	Bub1-related kinase	Current	mcl(2)Z1525 bub related one Bub1 l(2)k06109 bubR1 mcl(2)Z1525 bub1 DmBUB1 l(2)k03113 BUBR1 dBUB1 Dmbub1 CG7838 bubr1 BUB1 CG 7838 BcDNA:LD23835 Bub1 31/13	2	1.67	1.67	yes	gene	defective cell-cell aggregation
Secondary_004a	D7	Secondary_004a_D7	CG7769	pic	N/A	DDB1	piccolo	Current	Drosophila damage-specific DNA-binding protein 1 DDB1 damaged DNA binding protein 1 Damage-specific DNA binding protein 1 l(3)87Dh DDB1 l(3)S136603 dDdb1 153636_at DDB-1 263/16 1258/16 Dbd1 1366/03 CG7769 D-DDB1 0263/16 Ddb1 d-ddb1	2.33	1	1			
Secondary_004a	D8	Secondary_004a_D8	CG7789	CG7789	N/A	BPNT1	CG7789	Current		1.67	1	1			
Secondary_004a	D9	Secondary_004a_D9	CG7809	Grasp65	N/A	GORASP2	Grasp65	Current	dGRASP CG7809 dgrasp dGrasp65	2	1	1			
Secondary_004a	E1	Secondary_004a_E1	CG7900	CG7900	Metabolism-related pathways	FAAH2	CG7900	Current		1.67	1.33	1.67	yes	gene	defective cell-cell aggregation
Secondary_004a	E10	Secondary_004a_E10	CG7961	alphaCop	N/A	alpha-coatomer	alpha-coatomer protein	Current	COPI alpha subunit coatomer I alphaCop CG7961 alphaCOP alpha-COP	4	1	1			
Secondary_004a	E11	Secondary_004a_E11	CG7963	CG7963	Nuclear-associated pathways	ZNF726	CG7963	Current		1.67	1.67	2.17	yes	gene	defective cell-cell aggregation
Secondary_004a	E12	Secondary_004a_E12	CG7933	janA	Other pathways	PHPT1	janus A	Current	janus jan janus Jan jan A CG7933 BcDNA:AT12574 Y	1.67	1.33	1.67	yes	gene	defective cell-cell aggregation
Secondary_004a	E2	Secondary_004a_E2	CG7987	CG7987	N/A	ZNF420	CG7987	Current	anon-WO0118547.245	1.67	1	1			
Secondary_004a	E3	Secondary_004a_E3	CG7988	CG7988	N/A	SRRD	CG7988	Current		2	1	1			
Secondary_004a	E4	Secondary_004a_E4	CG7888	CG7888	N/A	SLC36A4	CG7888	Current		2.33	1	1			
Secondary_004a	E5	Secondary_004a_E5	CG7975	Grx-1	N/A	GLRX2	Grx-1	Current	CG7975	2.33	1	1			
Secondary_004a	E6	Secondary_004a_E6	CG7993	CG7993	N/A	RPF2	CG7993	Current		3.33	1.33	1.17			
Secondary_004a	E7	Secondary_004a_E7	CG7890	Hs3st-B	N/A	HS3ST4	Heparan sulfate 3-O sulfotransferase-B	Current	3-O-sulfotransferase CG7890 CG7890 dHs3st-B	2	1	1			
Secondary_004a	E8	Secondary_004a_E8	CG7945	CG7945	N/A	BAG2	CG7945	Current	CG17014	2.33	1	1			
Secondary_004a	E9	Secondary_004a_E9	CG7892	nmo	N/A	NLK	nemo	Current	adirondack NEMO dNEMO Nemo NEMO/NLK anon-WO0172774.138 nemo CG7892 clone 2.43 anon-EST:Liang-2.43 adk1 NEMO NLK anon-WO0140519.256 ORE-6 Nmo anon-WO0118547.332 adk Nemo Nlk anon-EST:Gibbs3	1.67	1	1			
Secondary_004a	F1	Secondary_004a_F1	CG7949	CG7949	N/A	FAM96B	CG7949	Current		1.67	1	1.17			
Secondary_004a	F10	Secondary_004a_F10	CG8258	CG8258	Quality control pathways	CCT8	CG8258	Current	TCP-1theta CCT8 Q7K3J0_DROME Tcp1-theta	2	2.67	2.17	yes	gene	defective cell-cell aggregation
Secondary_004a	F11	Secondary_004a_F11	CG8243	CG8243	N/A	SMAP2	CG8243	Current	gap40	2	1	1			
Secondary_004a	F12	Secondary_004a_F12	CG30431	CG30431	N/A	ZNF891	CG30431	Current	CG8324 CG8341		1	1			
Secondary_004a	F2	Secondary_004a_F2	CG7966	CG7966	Other pathways	SELENBP1	CG7966	Current		2	1.33	1.67	yes	gene	defective cell-cell aggregation
Secondary_004a	F3	Secondary_004a_F3	CG8177	CG8177	N/A	SLC4A3	CG8177	Current	BcDNA:RE59468 DAE anon-EST:Posey259	1.67	1	1.17			
Secondary_004a	F4	Secondary_004a_F4	CG8104	nudE	N/A	NDEL1	nudE	Current	CG8104 NudE DnudE	2.33	1	1.17			
Secondary_004a	F5	Secondary_004a_F5	CG8156	Arf51F	Trafficking pathways	Arf6	ADP ribosylation factor at 51F	Current	ADP ribosylation factor 51F ADP ribosylation factor III ARFIII Arf6 ARF6 dArf6 EP(2)2612 ARF3 arf6 arf51F AFR51F Dm Arf51F P40946 dARFIII Arf51f d-Arf6 CG8156 LD12493	2	1.67	2	yes	gene	defective cell-cell aggregation
Secondary_004a	F6	Secondary_004a_F6	CG8178	Nach	N/A	ASIC1	Nach	Current	pickpocket 4 ppk4 CG8178 PPK4	1.67	1	1			
Secondary_004a	F7	Secondary_004a_F7	CG8120	HP1e	N/A	CBX3	Heterochromatin Protein 1e	Current	HP1e HP1E CG8120	2	1	1			
Secondary_004a	F8	Secondary_004a_F8	CG8189	ATPsyn-b	Dropped	ATP5F1	"ATP synthase, subunit b"	Current	Fo-ATP synthase subunit b ATP synthase B chain  mt precursor ATP synthase  b F0/F1 ATP synthase B ATP synthase B chain CG8189	3	1.33	1.83			
Secondary_004a	F9	Secondary_004a_F9	CG8196	Ance-4	N/A	ACE	Ance-4	Current	CG8196	2	1	1			
Secondary_004a	G1	Secondary_004a_G1	CG8309	Tango7	N/A	EIF3M	Transport and Golgi organization 7	Current	Tng7 CG8309 Tango 7 TANGO7 tango7 anon-EST:Posey67 eIF3M anon-EST:Posey76	2	1	1			
Secondary_004a	G10	Secondary_004a_G10	CG8385	Arf79F	Trafficking pathways	Arf1	ADP ribosylation factor at 79F	Current	ADP-ribosylation factor 1 ADP ribosylation factor at 79F ADP ribosylation factor 79F Dm Arf79F CG8385 dARF79F Arf Arf1 dARFI ARF1_DROME ARF-1 dArf1 P61209 Darf1 Arf79f d-Arf1 ARF1	2.67	2	1.67	yes	gene	defective cell-cell aggregation
Secondary_004a	G11	Secondary_004a_G11	CG8460	CG8460	N/A	CHID1	CG8460	Current		2	1.33	1.17			
Secondary_004a	G12	Secondary_004a_G12	CG8507	CG8507	Other pathways	LRPAP1	CG8507	Current		1.67	3	2.83	yes	gene	defective cell-cell aggregation
Secondary_004a	G2	Secondary_004a_G2	CG8346	E(spl)m3-HLH	Nuclear-associated pathways	HES1-6	"Enhancer of split m3, helix-loop-helix"	Current	split locus enhancer protein m3 Enhancer of split m3 E(spl) region transcript m3 E(spl)M3 bHLHc14 E(Spl)-HLH-m3 E(spl)C m3 HLHm3 E(spl)m3 HLHM3 m3 HLH-m3 E(spl)C CG8346 E(spl)-m3	1.67	1.33	1.67	yes	gene	defective cell-cell aggregation
Secondary_004a	G3	Secondary_004a_G3	CG8231	Tcp-1zeta	Quality control pathways	Tcp1-zeta	T-cp1zeta	Current	T-cp1zeta Reduction in Cnn Dots 3 lethal (1) G0022 Lethal (1) G0022 l(1)G0022 TCP-1-zeta Tcp-1zeta l(1)G0057 Tcp-1-zeta Rcd3 CCT6 l(1)G0027 CG8231 L(1)g0022 Q9VXQ5_DROME TCP-1zeta	2	1.33	1.67	yes	gene	defective cell-cell aggregation
Secondary_004a	G4	Secondary_004a_G4	CG8351	Tcp-1eta	Quality control pathways	Tcp1-eta	Tcp-1eta	Current	CG8351 Tcp-1-eta1 Tcp-1eta CG8351 Cct7 Q9VHL2_DROME	2	1.33	1.67	yes	gene	defective cell-cell aggregation
Secondary_004a	G5	Secondary_004a_G5	CG8233	Rcd1	N/A	KANSL3	Reduction in Cnn dots 1	Current	non-specific lethal 3 CG8233 Reduction in Cnn Dots 1 CG8233 cg8233 NSL3 Rcd1 Nsl3	1.67	1.33	1.17			
Secondary_004a	G6	Secondary_004a_G6	CG8439	Cct5	Quality control pathways	T-complex Chaperonin 5	T-complex Chaperonin 5	Current	BcDNA.GM12270 BcDNA:GM12270 TCP-1epsilon Tcp1-epsilon l(2)06444 CCT5 CG8439	2.67	2	1.67	yes	gene	defective cell-cell aggregation
Secondary_004a	G7	Secondary_004a_G7	CG8454	Vps16A	Trafficking pathways	VPS16	Vacuolar protein sorting 16A	Current	Vps16 Vps16A CG8454 Vps16 dVps16A DmVps16 vps16A	2	1.67	1.67	yes	gene	defective cell-cell aggregation
Secondary_004a	G8	Secondary_004a_G8	CG8422	Dh44-R1	N/A	CRHR2	Diuretic hormone 44 receptor 1	Current	CG8422 CRF-like diuretic hormone receptor 1 DH44-receptor DH44 Receptor DH[[44]] receptor CG8422 anon-WO0170980.100 DH[[44]]-R1 anon-WO0170980.101 DmeCG8422 DH44-R1 DH-R	1.67	1	1			
Secondary_004a	G9	Secondary_004a_G9	CG8360	CG8360	N/A	CDA	CG8360	Current	BcDNA:LP03131	2	1	1			
Secondary_004a	H1	Secondary_004a_H1	CG8519	CG8519	N/A	RERG	CG8519	Current		1.67	1	1			
Secondary_004a	H10	Secondary_004a_H10	CG8809	Camta	N/A	CAMTA1	Calmodulin-binding transcription activator	Current	CG13952 CG42332 Calmodulin-binding transcription factor CG13953 calmodulin-binding transcription activator CG13952 CG42332 camta CG13953 dCAMTA DmCAMTA CG8809	2	1	1			
Secondary_004a	H11	Secondary_004a_H11	CG31628	ade3	N/A	GART	adenosine 3	Current	Complementation group D D 143062_at ADE8 CG8761 Gart/ade3 CG31628 Ade3 l(2)27Da GART Gart gart		1	1			
Secondary_004a	H12	Secondary_004a_H12	CG8781	tsu	N/A	RBM8A	tsunagi	Current	Y14 Tsunagi y14 CG8781 Y14 cg8781 Tsu TSU Y14/Tsunagi	2.33	1	1			
Secondary_004a	H2	Secondary_004a_H2	CG8522	HLH106	Dropped	SREBF2	Helix loop helix protein 106	Current	sterol regulatory element-binding protein sterol-responsive element-binding protein lethal (3) 76BDw Sterol Regulatory Element Binding Protein Sterol regulatory element-binding protein transcription factor Sterol regulatory element binding protein Drosophila sterol regulatory element binding protein l(3)76BDw SREBP Srebp dSREBP dsrebp CG8522 dSrebp srebp HlH106	3	1.67	1.83			
Secondary_004a	H3	Secondary_004a_H3	CG8380	DAT	N/A	SLC6A2	Dopamine transporter	Current	fumin dopamine transporter fumin fmn DmDAT CG8380 dDAT	2	1	1			
Secondary_004a	H4	Secondary_004a_H4	CG32742	l(1)G0148	N/A	CDC7	lethal (1) G0148	Current	l(1)G0149 cdc7 CT25076 l(1)G0461 CG32742 anon-WO03040301.250 cdc7-related CG8655 CG8656	2	1	1			
Secondary_004a	H5	Secondary_004a_H5	CG8546	ppk26	"Channels, permeases, and transporters"	ASIC1-5	pickpocket 26	Current	pickpocket 26 ppk26 CG8546	2	1.33	1.67	yes	gene	defective cell-cell aggregation
Secondary_004a	H6	Secondary_004a_H6	CG8641	CG8641	Other pathways	"DIRAS1/2/3,RASD1/2"	CG8641	Current	Q9VS10	1.67	1.33	1.67	yes	gene	defective cell-cell aggregation
Secondary_004a	H7	Secondary_004a_H7	CG8642	CG8642	N/A	FIBCD1	CG8642	Current	Fibrinogen-related protein FBpp0087808 AAF59068	2	1	1			
Secondary_004a	H8	Secondary_004a_H8	CG8536	beta4GalNAcTA	Metabolism-related pathways	B4GALT1/2/3/4/5/6	beta4GalNAcTA	Current	beta1 4-N-acetylgalactosaminyltransferase DmGalT CG8536 anon-WO0118547.128 BcDNA:GH13356 beta4GalTA beta4GalNAcT1 beta4GalNacTA dbeta4GalTA beta4GalNAcTA b4GalNAcTA beta4Gal-NAcTA	1.67	2.33	2	yes	gene	defective cell-cell aggregation
Secondary_004a	H9	Secondary_004a_H9	CG8542	Hsc70-5	N/A	HSPA9	Heat shock protein cognate 5	Current	Hsp cognate 5 Hsc70 Hsc-5 Hsc5 hsc70 HSC5 l(2)k04907 hsc70-5 CG8542 HSC70 HSC-70 dhsc70 Hsp-c5	1.67	1	1			
Secondary_004b	A1	Secondary_004b_A1	CG6232	loh	N/A	THSD4	lonely heart	Current	Lonely heart CT19510 CG6232 Loh	1.67	1	1			
Secondary_004b	A10	Secondary_004b_A10	CG6798	nAChRbeta2	N/A	CHRNA2	nicotinic Acetylcholine Receptor beta2	Current	Dbeta2 second beta-like subunit of Drosophila nicotinic Acetylcholine Receptor beta 96A SBD Dbeta2 nAChR nAcRbeta nAcRbeta-96A nAcr96Ac CG6798 beta2 SBD nAcRs sbd Acr96Ac beta[[2]] AcrF	1.67	1	1			
Secondary_004b	A11	Secondary_004b_A11	CG6854		N/A	N/A	CG6854			1	1	1			
Secondary_004b	A12	Secondary_004b_A12	CG6815	bor	Other pathways	ATAD3A/B/C	belphegor	Current	Belphegor Cytoplasmic Protein 89BC ATAD3A CP89BC Bor CG6815 dATAD3A	2	1	2	yes	gene	defective cell-cell aggregation
Secondary_004b	A2	Secondary_004b_A2	CG6501	Ns2	N/A	GNL2	Nucleostemin ortholog (H. sapiens) 2	Current	Nucleostemin 2 nucleostemin 2 Ngp NS2 Ngp1 Ngp dmNS2 CG6501 ns2	2.67	1.33	1.17			
Secondary_004b	A3	Secondary_004b_A3	CG42610	Fhos	Actin cytoskeletal pathways	FHOD3	Formin homology 2 domain containing ortholog	Current	CG32030 Fhos desert lethal (3) 01629 jazigo CG32030 CG32025 CG42610 jaz CG5775 l(3)01629 desert dFHOS CG5797		2.33	2.5	yes	gene	defective cell-cell aggregation
Secondary_004b	A4	Secondary_004b_A4	CG30280	CG30280	Extracellular matrix components	fibrinogen C	CG30280	Current	Fibrinogen-related protein FBpp0071673 AAF46801 CG6676		3.33	2.83	yes	gene	defective cell-cell aggregation
Secondary_004b	A5	Secondary_004b_A5	CG6664	CG6664	N/A	CCDC6	CG6664	Current		2	1.33	1.17			
Secondary_004b	A6	Secondary_004b_A6	CG6678	CG6678	N/A	RCCD1	CG6678	Current		1.67	1	1			
Secondary_004b	A7	Secondary_004b_A7	CG6696	CG6696	Peptidase proteins	meprin A	CG6696	Current		1.67	2.67	2.67	yes	gene	defective cell-cell aggregation
Secondary_004b	A8	Secondary_004b_A8	CG6589	spag4	Dropped	SUN1	sperm-associated antigen 4	Current	CG6589 giacomo CG6589 giac dspag Dspag4	2	2.33	1.67			
Secondary_004b	A9	Secondary_004b_A9	CG6637	lsn	N/A	SNF8	larsen	Current	CG6637 vps22 CG6637 Lsn Vps22	1.67	1	1			
Secondary_004b	B1	Secondary_004b_B1	CG6990	HP1c	Dropped	CBX3	Heterochromatin Protein 1c	Current	heterochromatin protein 1c Heterochromatin protein 1c HP1c HP1C HP1 CG6990 hp1c Hp1c	1.67	2.33	2.5			
Secondary_004b	B10	Secondary_004b_B10	CG7154	CG7154	N/A	BRD7	CG7154	Current		1.67	1	1			
Secondary_004b	B11	Secondary_004b_B11	CG7158	CG7158	N/A	ALS2	CG7158	Current		2	1	1			
Secondary_004b	B12	Secondary_004b_B12	CG7134	cdc14	Kinases and Phosphatases	CDC14	cdc14	Current	CG7134 CDC14 CG7134 CDC-14	1.67	2	2	yes	gene	defective cell-cell aggregation
Secondary_004b	B2	Secondary_004b_B2	CG6939	Sbf	N/A	SBF2	SET domain binding factor	Current	CG6939 SBF Sbf1 DSbf1 dSbf1 sbf	1.67	1	1			
Secondary_004b	B3	Secondary_004b_B3	CG6993	ss	N/A	AHR	spineless	Current	Spineless aristapedia spineless-aristapedia Ss SS ssa AhR AHR CG6993	2	1	1			
Secondary_004b	B4	Secondary_004b_B4	CG31158	Efa6	N/A	PSD3	Exchange factor for Arf 6 ortholog (H. sapiens	Current	Efa6 pleckstrin and Sec7 domain containing CG6941 dEfa6 CG31158 dPsd EFA6 CG18185	1.67	1	0.83			
Secondary_004b	B5	Secondary_004b_B5	CG7033	CG7033	N/A	CCT2	CG7033	Current	CCT2 Cct2 Q9W392_DROME TCP-1beta Tcp1-beta Q8IRM8_DROME SD02216p	1.67	0.67	0.83			
Secondary_004b	B6	Secondary_004b_B6	CG6958	Nup133	N/A	NUP133	Nucleoporin 133kD	Current	Nucleoporin 133 Nup 133 nup133 CG6958	2	1	1			
Secondary_004b	B7	Secondary_004b_B7	CG6978	CG6978	N/A	SLC17A5	CG6978	Current		1.67	1	1			
Secondary_004b	B8	Secondary_004b_B8	CG6944	Lam	N/A	LMNA	Lamin	Current	alpha-Lamin lamin A Lamin Dmo lamin nuclear lamin lamin D[[m]]0 Lamin D Lamin B intermediate filament-like lamina Lamin-B Lamin Dm0 lamin D[[0]] B-type Lamin lamin Dm[[0]] Lamin Dm[[0]] n-lamin misrouted lamin B LaminDm Lamin DmO lethal(2)25Ec Lamin D[[o]] LaminDm0 B-type lamin lamin Dm0 misguided 74/76 nlam Dm LamDm[[o]] Dm[[mit]] DmLamin Dm[[2]] lamin DmO Dm(0) lamDm0 lam LAM Dm[[o]] Lamin B Dm[[1]] Lamin Lam Dm[[0]] l(2)jf27 l(2)gdh-7 2459 Dm1 Lam(Dm0) lamDm[[0]] lamin Dm[[0]] jf27 Lamin Dm[[0]] Dm[[0]] l(2)gdh7 lamin B misg Dmo DM[[O]] Dm2 LamDm Dm0 l(2)25Ec LamDm[[0]] D5 Lam[[Dm0]] lamin Dm0 l(2)04643 CG6944	1.67	1	1			
Secondary_004b	B9	Secondary_004b_B9	CG6946	glo	N/A	HNRNPF	glorund	Current	p67-K Glorund l(3)S11046 l(3)S011046 p67 CG6946 110/46 anon-WO0118547.328 p67-K cg6946 Glo	2	1.33	1.17			
Secondary_004b	C1	Secondary_004b_C1	CG3722	shg	Adherens junction pathways	E-cadherin	shotgun	Current	De-cadherin dE-Cadherin Cadherin-E DCAD2 epithelial cadherin Cadherin DE-cad D-cadherin DE-cadherin Shotgun/E-cadherin Shotgun DEcad D-Ecadherin eta-catenin de-cadherin dE-cadherin Drosophila E-Cadherin DE-Cadherin DE Cadherin e-cadherin E-cadherin Drosophila epithelial cadherin Drosophila E-cadherin compaction defects 5 DE cadherin ECadherin Ecadherin cadherin DE-CADHERIN E-Cadherin DE-cadherin/Shotgun DEcadherin l(2)10469 cadh DE Cad Ecad l(2)k03401 ECadh Cad E-Cadherin cad CG3722 DEC E-CAD de-cad ECad2 ECAD DE-CAD2 E-cad DE DECadh N-cad com5 DE-cadherin l(2)k10220 Cadh DE[cyto] DEcad Shg gp150 DE-Cad CT12481 DECad dEcad DE Cadh ECad DE-Cadherin DCAD E-cadherin DCad2 CADH D-CAD2 DE-Cad2 e-cad E-Cad DE-Cadh DE-cadh D-cad DCad shg/DE-Cad DCAD2 CadE DE-CAD DE-cad D E-cad	2.33	4	4	yes	gene	defective cell-cell aggregation
Secondary_004b	C10	Secondary_004b_C10	CG7398	Trn	N/A	TNPO1	Transportin	Current	transportin Transportin Trn1 IMPbeta2 TRN dTRN CG7398 Tm	1.67	1	1			
Secondary_004b	C11	Secondary_004b_C11	CG7516	l(2)34Fd	N/A	NOL10	lethal (2) 34Fd	Current	lethal 15 in the black-reduced region lethal group A4 br15 l(2)br15 A4 CG7516 BG:DS01068.6	2	1	1			
Secondary_004b	C12	Secondary_004b_C12	CG7519	CG7519	N/A	PBDC1	CG7519	Current		1.67	1	1			
Secondary_004b	C2	Secondary_004b_C2	CG11579	arm	Adherens junction pathways	beta-catenin	armadillo	Current	catenin Beta-catenin/Arm b-catenin Armadillo(Arm)/beta-catenin Armadillo beta-Catenin Armadillo/beta-catenin Beta-catenin Armadillo/bgr;-catenin betacatenin bgr;-catenin beta-catenin beta-catenin/Armadillo beta-catenin/Arm beta-cat-arm l(1)arm l(1)G0192 beta-Cat Arm EG:86E4.6 betacat Dm Arm t12687 ALR Dm ARM l(1)G0410 beta-cat l(1)2Bv l(1)G0234 CG11579 bgr;-Cat	3.67	4	4	yes	gene	defective cell-cell aggregation
Secondary_004b	C3	Secondary_004b_C3	CG17947	alpha-Cat	Adherens junction pathways	alpha-catenin	alpha Catenin	Current	alpha catenin DalphaCatenin alpha Catenin Dalpha-Catenin alpha-catenin alpha-Catenin alphaCatenin a-catenin D-alpha-catenin Dalpha-cadherin Dalpha-catenin Dalphacatenin alphacatenin alpha-ctn Dmcatp CG17947 DalphaC alphaCat Dalpha-Cat a-Cat alpha-Cat alpha-catenin Dalpha-cat a-cat CT39986 alpha-cat alpha-CAT Dalphacat LD30423p alphaCAT alphacat	3	3	3	yes	gene	defective cell-cell aggregation
Secondary_004b	C4	Secondary_004b_C4	CG7262	Nup93-2	Nuclear import and export proteins	Nup93	Nucleoporin 93kD-2	Current	Nucleoporin 93 CG7262 Cg7262 nup93	1.67	2.33	1.83	yes	gene	defective cell-cell aggregation
Secondary_004b	C5	Secondary_004b_C5	CG7288	CG7288	Dropped	USP39	CG7288	Current		1.67	2.33	2.33			
Secondary_004b	C6	Secondary_004b_C6	CG7322	CG7322	Metabolism-related pathways	DCXR	CG7322	Current		2	3	2.83	yes	gene	defective cell-cell aggregation
Secondary_004b	C7	Secondary_004b_C7	CG7368	CG7368	Nuclear-associated pathways	ZNF682	CG7368	Current		2	1.67	1.67	yes	gene	defective cell-cell aggregation
Secondary_004b	C8	Secondary_004b_C8	CG7349	CG7349	N/A	SDHB	CG7349	Current	Succinate dehydrogenase Iron-sulfur protein lincRNA.S9658	2.33	1	1			
Secondary_004b	C9	Secondary_004b_C9	CG7392	Cka	N/A	STRN3	Connector of kinase to AP-1	Current	connector of kinase to AP-1 WD-40-family-member anon-WO0172774.174 anon-WO0172774.179 5836 cka anon-WO0172774.177 CKA CG7392 l(2)s1883 anon-WO0172774.175 Dcka l(2)05836	3	1	1			
Secondary_004b	D1	Secondary_004b_D1	CG33253	CG33253	N/A	STOM	CG33253	Current	CG14192 CK01423 BEST:CK01423 CG7633	1.67	1	1			
Secondary_004b	D10	Secondary_004b_D10	CG7865	Pngl	N/A	NGLY1	PNGase-like	Current	PNGase CG7865 png1 PNGase	2	1.33	1.17			
Secondary_004b	D11	Secondary_004b_D11	CG7938	Sry-beta	Nuclear-associated pathways	ZNF764	Serendipity beta	Current	serendipity serendipity beta srybeta sry beta ser Srybeta sry-beta sry sryb Sry-beta sry-b CG7938	2.67	1.67	2.17	yes	gene	defective cell-cell aggregation
Secondary_004b	D12	Secondary_004b_D12	CG7986	Atg18	N/A	WIPI2	Autophagy-specific gene 18	Current	CG7986 ATG18 ATG18.1 atg18 Atg18a	1.67	1	1			
Secondary_004b	D2	Secondary_004b_D2	CG7776	E(Pc	N/A	EPC1	Enhancer of Polycomb	Current	transcript group III Enhancer of polycomb GH05739 e(Pc) l(2)28-28-12 GH14582 CG7776 anon-48Ac e(pc) III E(PC	1.67	1	1			
Secondary_004b	D3	Secondary_004b_D3	CG7777	CG7777	N/A	AQP1	CG7777	Current	Aqp7777	1.67	1	1			
Secondary_004b	D4	Secondary_004b_D4	CG7830	Ostgamma	Metabolism-related pathways	TUSC3	Oligosaccharide transferase gamma subunit	Current	CG7830	1.67	1.67	2	yes	gene	defective cell-cell aggregation
Secondary_004b	D5	Secondary_004b_D5	CG7814	CG34133	N/A	WDR44	CG34133	Current	CG31035 CG7814 anon-WO0118547.417	1.67	1	1			
Secondary_004b	D6	Secondary_004b_D6	CG7838	BubR1	Nuclear-associated pathways	BUB1	Bub1-related kinase	Current	mcl(2)Z1525 bub related one Bub1 l(2)k06109 bubR1 mcl(2)Z1525 bub1 DmBUB1 l(2)k03113 BUBR1 dBUB1 Dmbub1 CG7838 bubr1 BUB1 CG 7838 BcDNA:LD23835 Bub1 31/13	2	1.67	1.67	yes	gene	defective cell-cell aggregation
Secondary_004b	D7	Secondary_004b_D7	CG7769	pic	N/A	DDB1	piccolo	Current	Drosophila damage-specific DNA-binding protein 1 DDB1 damaged DNA binding protein 1 Damage-specific DNA binding protein 1 l(3)87Dh DDB1 l(3)S136603 dDdb1 153636_at DDB-1 263/16 1258/16 Dbd1 1366/03 CG7769 D-DDB1 0263/16 Ddb1 d-ddb1	2.33	1	1			
Secondary_004b	D8	Secondary_004b_D8	CG7789	CG7789	N/A	BPNT1	CG7789	Current		1.67	1	1			
Secondary_004b	D9	Secondary_004b_D9	CG7809	Grasp65	N/A	GORASP2	Grasp65	Current	dGRASP CG7809 dgrasp dGrasp65	2	1	1			
Secondary_004b	E1	Secondary_004b_E1	CG7900	CG7900	Metabolism-related pathways	FAAH2	CG7900	Current		1.67	2	1.67	yes	gene	defective cell-cell aggregation
Secondary_004b	E10	Secondary_004b_E10	CG7961	alphaCop	N/A	alpha-coatomer	alpha-coatomer protein	Current	COPI alpha subunit coatomer I alphaCop CG7961 alphaCOP alpha-COP	4	1	1			
Secondary_004b	E11	Secondary_004b_E11	CG7963	CG7963	Nuclear-associated pathways	ZNF726	CG7963	Current		1.67	2.67	2.17	yes	gene	defective cell-cell aggregation
Secondary_004b	E12	Secondary_004b_E12	CG7933	janA	Other pathways	PHPT1	janus A	Current	janus jan janus Jan jan A CG7933 BcDNA:AT12574 Y	1.67	2	1.67	yes	gene	defective cell-cell aggregation
Secondary_004b	E2	Secondary_004b_E2	CG7987	CG7987	N/A	ZNF420	CG7987	Current	anon-WO0118547.245	1.67	1	1			
Secondary_004b	E3	Secondary_004b_E3	CG7988	CG7988	N/A	SRRD	CG7988	Current		2	1	1			
Secondary_004b	E4	Secondary_004b_E4	CG7888	CG7888	N/A	SLC36A4	CG7888	Current		2.33	1	1			
Secondary_004b	E5	Secondary_004b_E5	CG7975	Grx-1	N/A	GLRX2	Grx-1	Current	CG7975	2.33	1	1			
Secondary_004b	E6	Secondary_004b_E6	CG7993	CG7993	N/A	RPF2	CG7993	Current		3.33	1	1.17			
Secondary_004b	E7	Secondary_004b_E7	CG7890	Hs3st-B	N/A	HS3ST4	Heparan sulfate 3-O sulfotransferase-B	Current	3-O-sulfotransferase CG7890 CG7890 dHs3st-B	2	1	1			
Secondary_004b	E8	Secondary_004b_E8	CG7945	CG7945	N/A	BAG2	CG7945	Current	CG17014	2.33	1	1			
Secondary_004b	E9	Secondary_004b_E9	CG7892	nmo	N/A	NLK	nemo	Current	adirondack NEMO dNEMO Nemo NEMO/NLK anon-WO0172774.138 nemo CG7892 clone 2.43 anon-EST:Liang-2.43 adk1 NEMO NLK anon-WO0140519.256 ORE-6 Nmo anon-WO0118547.332 adk Nemo Nlk anon-EST:Gibbs3	1.67	1	1			
Secondary_004b	F1	Secondary_004b_F1	CG7949	CG7949	N/A	FAM96B	CG7949	Current		1.67	1.33	1.17			
Secondary_004b	F10	Secondary_004b_F10	CG8258	CG8258	Quality control pathways	CCT8	CG8258	Current	TCP-1theta CCT8 Q7K3J0_DROME Tcp1-theta	2	1.67	2.17	yes	gene	defective cell-cell aggregation
Secondary_004b	F11	Secondary_004b_F11	CG8243	CG8243	N/A	SMAP2	CG8243	Current	gap40	2	1	1			
Secondary_004b	F12	Secondary_004b_F12	CG30431	CG30431	N/A	ZNF891	CG30431	Current	CG8324 CG8341		1	1			
Secondary_004b	F2	Secondary_004b_F2	CG7966	CG7966	Other pathways	SELENBP1	CG7966	Current		2	2	1.67	yes	gene	defective cell-cell aggregation
