Plate	Well Number	Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Control Type	Control Comments	Channels	Replicate Group	Plate Issues
JL_120912_S5A	56	E8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	57	E9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	58	E10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	59	E11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	60	E12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	61	F1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC1705.02	SPAC1705.02						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	62	F2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tim13	SPAC17C9.09c	tim13					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	63	F3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	gmf1	SPAC17H9.11	gmf1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	64	F4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ckb1	SPAC1851.03	ckb1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	65	F5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rfp1	SPAC19A8.10	rfp1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	66	F6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	byr1	SPAC1D4.13	byr1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	67	F7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	68	F8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	69	F9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	70	F10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	71	F11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	72	F12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	73	G1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ecm29	SPAC1782.01	ecm29					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	74	G2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	cis4	SPAC17D4.03c	cis4					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	75	G3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	pdi2	SPAC17H9.14c	pdi2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	76	G4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rhp6	SPAC18B11.07c	rhp6					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	77	G5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rps3001	SPAC19B12.04	rps3001					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	78	G6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	gga21	SPAC1F3.05	gga21					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	79	G7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	80	G8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	81	G9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	82	G10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	83	G11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	84	G12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	85	H1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ypa2	SPAC1782.05	ypa2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	86	H2									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	87	H3									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	88	H4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	89	H5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC19B12.07c	SPAC19B12.07c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	90	H6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	spo15	SPAC1F3.06c	spo15					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	91	H7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	92	H8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	93	H9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	94	H10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	95	H11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5A	96	H12									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	1	A1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	2	A2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	3	A3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	4	A4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	5	A5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	6	A6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	7	A7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC1F7.11c	SPAC1F7.11c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	8	A8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC227.03c	SPAC227.03c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	9	A9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC22F8.04	SPAC22F8.04						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	10	A10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC23A1.07	SPAC23A1.07						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	11	A11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ubp7	SPAC23G3.08c	ubp7					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	12	A12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	cnt6	SPAC26A3.10	cnt6					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	13	B1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	14	B2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	15	B3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	16	B4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	17	B5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	18	B6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	19	B7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ght3	SPAC1F8.01	ght3					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	20	B8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC227.05	SPAC227.05						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	21	B9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	plc1	SPAC22F8.11	plc1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	22	B10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	crn1	SPAC23C4.02	crn1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	23	B11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	npr2	SPAC23H3.03c	npr2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	24	B12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	dph1	SPAC26A3.16	dph1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	25	C1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	26	C2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	27	C3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	28	C4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	29	C5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	30	C6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	31	C7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	fft1	SPAC20G8.08c	fft1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	32	C8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC227.10	SPAC227.10						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	33	C9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	kap111	SPAC22G7.02	kap111					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	34	C10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	pdp3	SPAC23D3.01	pdp3					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	35	C11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC24B11.08c	SPAC24B11.08c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	36	C12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	pnn1	SPAC26F1.02	pnn1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	37	D1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mal3	SPAC18G6.15	mal3			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	38	D2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mto1	SPCC417.07c	mto1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	39	D3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	40	D4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	41	D5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	42	D6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	43	D7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	dsc3	SPAC20H4.02	dsc3					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	44	D8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC22A12.14c	SPAC22A12.14c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	45	D9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ppk8	SPAC22G7.08	ppk8					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	46	D10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC23D3.03c	SPAC23D3.03c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	47	D11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC24B11.12c	SPAC24B11.12c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	48	D12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC26F1.08c	SPAC26F1.08c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	49	E1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	50	E2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	51	E3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	52	E4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	53	E5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	54	E6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	55	E7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC20H4.05c	SPAC20H4.05c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	56	E8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	sck2	SPAC22E12.14c	sck2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	57	E9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ppa3	SPAC22H10.04	ppa3					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	58	E10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	arp42	SPAC23D3.09	arp42					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	59	E11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC24C9.08	SPAC24C9.08						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	60	E12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	pyp1	SPAC26F1.10c	pyp1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	61	F1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	62	F2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	63	F3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	64	F4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	65	F5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	66	F6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	67	F7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ufd2	SPAC20H4.10	ufd2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	68	F8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rdh54	SPAC22F3.03c	rdh54					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	69	F9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	scd2	SPAC22H10.07	scd2					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	70	F10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	fep1	SPAC23E2.01	fep1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	71	F11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	otu1	SPAC24C9.14	otu1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	72	F12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC27D7.02c	SPAC27D7.02c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	73	G1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	74	G2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	75	G3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	76	G4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	77	G5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	78	G6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	79	G7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC222.14c	SPAC222.14c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	80	G8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rok1	SPAC22F3.08c	rok1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	81	G9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	zym1	SPAC22H10.13	zym1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	82	G10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	sib1	SPAC23G3.02c	sib1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	83	G11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	zip1	SPAC25G10.03	zip1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	84	G12	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tpr1	SPAC27D7.14c	tpr1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	85	H1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tea1	SPCC1223.06	tea1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	86	H2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	ase1	SPAPB1A10.09	ase1			positive control		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	87	H3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	88	H4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	89	H5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	MS1404					negative control	wild type	GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	90	H6									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	91	H7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	meu13	SPAC222.15	meu13					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	92	H8	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	rgs1	SPAC22F3.12c	rgs1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	93	H9	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	mnl1	SPAC23A1.04c	mnl1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	94	H10	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC23G3.05c	SPAC23G3.05c						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	95	H11	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	jmj1	SPAC25H1.02	jmj1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_120912_S5B	96	H12									empty well		GFP:endogenous alpha tubulin 2;Cascade blue:growth media	2	
JL_121214_J1_1	1	A1	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	raf1	SPCC613.12c	raf1					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	3	
JL_121214_J1_1	2	A2	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	met14	SPAC1782.11	met14					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	3	
JL_121214_J1_1	3	A3	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	cox4	SPAC1296.02	cox4					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	3	
JL_121214_J1_1	4	A4	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	med20	SPAC17G8.05	med20					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	3	
JL_121214_J1_1	5	A5	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	tma23	SPAC1952.02	tma23					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	3	
JL_121214_J1_1	6	A6	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	trm112	SPAC31A2.02	trm112					GFP:endogenous alpha tubulin 2;Cascade blue:growth media	3	
JL_121214_J1_1	7	A7	Schizosaccharomyces pombe	NCBITaxon	NCBITaxon_4896	SPAC343.20	SPAC343.20						GFP:endogenous alpha tubulin 2;Cascade blue:growth media	3	
