Gene Identifier	Gene Symbol	Reproducibility of Shape Hits	Reproducibility of microtubule hits	Reproducibility of cell cycle progression hits	Visual Shape Hit	Visual Microtubule Hit	Conservation in S. cerevisiae	Conservation in Vertebrates	Conservation in H. sapiens	Phenotype 1	Ontology Term Name 1a	Term Source Accession 1a	Ontology Term Name 1b	Term Source Accession 1b	Phenotype 2	Ontology Term Name 2a	Term Source Accession 2a	Ontology Term Name 2b	Term Source Accession 2b	Phenotype 3	Ontology Term Name 3a	Term Source Accession 3a	Ontology Term Name 3b	Term Source Accession 3b	Phenotype 4	Ontology Term Name 4a	Term Source Accession 4a	Ontology Term Name 4b	Term Source Accession 4b	Phenotype 5	Ontology Term Name 5a	Term Source Accession 5a	Ontology Term Name 5b	Term Source Accession 5b	Phenotype 6	Ontology Term Name 6a	Term Source Accession 6a	Ontology Term Name 6b	Term Source Accession 6b	Phenotype 7	Ontology Term Name 7a	Term Source Accession 7a	Ontology Term Name 7b	Term Source Accession 7b
SPBC2G2.01c	liz1		3/8				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC30B4.04c	sol1		3/8				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC32F12.11	tdh1		2/5		yes		yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC3H7.07c	ser2		2/5				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC543.08			4/8				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC685.03			5/13				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC691.04			5/8				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBC725.07	pex5		4/10		yes		yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBP4H10.03	oxa102		2/5				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPBP8B7.18c			3/8			yes	yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC1183.11	msy1		3/8				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC1223.05c	rpl3702		4/10				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC1235.05c	fft2		3/8				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC1322.06	kap113		5/10					yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC1672.04c			2/4				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC1753.02c	git3		2/5				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC23B6.03c	tel1		3/8				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC24B10.08c	ada2		5/7				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC24B10.11c	mft1		3/7				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC24B10.19c			5/13				yes			abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC4G3.04c	coq5		3/7				yes	yes	yes	abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC663.12	cid12		5/12		yes	yes	yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC736.04c	gma12		3/7				yes	yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC736.11	ago1		2/5							abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPCC895.06	elp2		3/7					yes		abnormal microtubule cytoskeleton morphology during mitotic interphase	abnormal	PATO_0000460	microtubule cytoskeleton morphology during mitotic interphase	CMPO_0000369																														
SPAC21E11.03c	pcr1			2/5	yes		yes	yes	yes	abnormal mitotic cell cycle phase	abnormal	PATO_0000460	cell cycle phase	GO_0022403																														
SPAC25G10.03	zip1			2/5			yes	yes		IP increased	more cells with interphase microtubule arrays	CMPO_0000383																																
SPCC645.12c				2/4				yes	yes	IP increased	more cells with interphase microtubule arrays	CMPO_0000383																																
SPAC3A11.13				2/5			yes	yes	yes	SP reduced	fewer cells with metaphase spindles	CMPO_0000387																																
SPAC11G7.06c	mug132	6/7						yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC14C4.10c		3/7			yes		yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC16C9.06c	upf1	4/10			yes		yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC16E8.01	shd1	9/9						yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC16E8.08		4/7					yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC1F5.05c		7/9						yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC20H4.07	rad57	8/9						yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC22A12.04c	rps2201	5/11			yes	yes	yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC26A3.09c	rga2	7/9					yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC2C4.10c	csc4	5/8					yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC31F12.01	zds1	3/6				yes	yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC31G5.19	abo1	4/6					yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC328.04		4/9					yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC3A12.13c		7/10				yes	yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC3C7.06c	pit1	6/9					yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC4H3.05	srs2	4/10					yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC57A10.12c	ura3	5/8				yes	yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC6G10.02c	tea3	8/10					yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC8C9.03	cgs1	3/7				yes	yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAC959.08	rpl2102	6/14					yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPAP14E8.02		7/9					yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPBC146.09c	lsd1	5/10					yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPBC1921.07c	sgf29	3/7								viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPBC19C2.13c	ctu2	3/7						yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPBC19F8.03c		4/11						yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPBC25B2.08		6/10			yes	yes	yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPBC25H2.15		4/9					yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPBC32F12.05c	cwf12	4/10					yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPBC3B8.02	php5	3/7					yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPBC409.19c		3/8					yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPBC800.03	clr3	7/10				yes	yes	yes		viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPBC839.05c	rps1701	3/8					yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPBP35G2.04c		3/8			yes	yes	yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPBP8B7.13	vac7	8/9					yes			viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPCC1919.03c	amk2	6/9								viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPCC31H12.08c	ccr4	6/7					yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPCC364.03	rpl1702	5/10				yes	yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
SPCC622.12c	gdh1	2/5					yes	yes	yes	viable vegetative cell with abnormal cell shape	abnormal cell shape	CMPO_0000116																																
